,cdf,Normalized End to End Latency
0,0.0,0.008591326890833887
1,0.01,0.01480186778723828
2,0.02,0.017370153685716334
3,0.03,0.019158633712809566
4,0.04,0.020262127016452143
5,0.05,0.020424874207613106
6,0.06,0.020671449271786557
7,0.07,0.021386363457730474
8,0.08,0.022708822771297113
9,0.09,0.02363558772473284
10,0.1,0.023730319444339266
11,0.11,0.023968813199611645
12,0.12,0.024404158334272612
13,0.13,0.024698772482012597
14,0.14,0.02484741063499535
15,0.15,0.024996943298040815
16,0.16,0.02514737585434463
17,0.17,0.02524816683894022
18,0.18,0.02529871371949866
19,0.19,0.025349361795013157
20,0.2,0.025400111268076248
21,0.21,0.025450962341686013
22,0.22,0.025450962341686013
23,0.23,0.02550191521924695
24,0.24,0.02555297010457077
25,0.25,0.02560412720187722
26,0.26,0.025655386715794894
27,0.27,0.025655386715794894
28,0.28,0.025706748851362038
29,0.29,0.025758213814027427
30,0.3,0.025758213814027427
31,0.31,0.02580978180965111
32,0.32,0.025861453044505267
33,0.33,0.025861453044505267
34,0.34,0.025913227725275052
35,0.35000000000000003,0.025913227725275052
36,0.36,0.025965106059059384
37,0.37,0.02601708825337182
38,0.38,0.02601708825337182
39,0.39,0.026121365055713178
40,0.4,0.026121365055713178
41,0.41000000000000003,0.026121365055713178
42,0.42,0.02617366008084974
43,0.43,0.026226059800731324
44,0.44,0.026278564424957015
45,0.45,0.02633117416354552
46,0.46,0.02638388922693599
47,0.47000000000000003,0.026489636171986894
48,0.48,0.026542668476635518
49,0.49,0.026542668476635518
50,0.5,0.026649051810827114
51,0.51,0.026755861530700437
52,0.52,0.02686309934521446
53,0.53,0.026970766970177622
54,0.54,0.027078866128275373
55,0.55,0.02718739854909769
56,0.56,0.027296365969166802
57,0.5700000000000001,0.027405770131964907
58,0.58,0.027570699099849907
59,0.59,0.027903540655237234
60,0.6,0.028015378381472934
61,0.61,0.028240400371375287
62,0.62,0.028524221208712196
63,0.63,0.028753330269078968
64,0.64,0.028984279553624294
65,0.65,0.02927557650353776
66,0.66,0.029392913365939858
67,0.67,0.02956980103744972
68,0.68,0.02980730828721308
69,0.6900000000000001,0.0302275455402293
70,0.7000000000000001,0.030592461324073388
71,0.71,0.03171385427071461
72,0.72,0.03294217136321616
73,0.73,0.033607647592195256
74,0.74,0.03387758718159356
75,0.75,0.034081463790840066
76,0.76,0.03421806270723731
77,0.77,0.03449290520467356
78,0.78,0.034700484821205746
79,0.79,0.034979202175607335
80,0.8,0.03561452881254402
81,0.81,0.03611663895316584
82,0.8200000000000001,0.03677262483438678
83,0.8300000000000001,0.0369939238904306
84,0.84,0.03714219598190319
85,0.85,0.03736571913118091
86,0.86,0.0375154813824459
87,0.87,0.03774125097747362
88,0.88,0.03781680903748858
89,0.89,0.03796837926251835
90,0.9,0.0381968744142284
91,0.91,0.038503675078196
92,0.92,0.03896850272201971
93,0.93,0.03936014281659641
94,0.9400000000000001,0.03959701365435389
95,0.9500000000000001,0.03975571896087905
96,0.96,0.03991506036017978
97,0.97,0.040075040401723556
98,0.98,0.040155270712838094
99,0.99,0.04031621352036169
100,1.0,0.04072139833818039
