,cdf,Normalized End to End Latency
0,0.0,0.006571572201736286
1,0.01,0.016655715219953002
2,0.02,0.01877926722247083
3,0.03,0.01942874101419474
4,0.04,0.02006051541717455
5,0.05,0.020302691835303904
6,0.06,0.02063014767483993
7,0.07,0.02083748417540145
8,0.08,0.021173565515246733
9,0.09,0.021343633460811928
10,0.1,0.021386363457730474
11,0.11,0.021472080259448016
12,0.12,0.021558140615136834
13,0.13,0.021687878325993115
14,0.14,0.021862077277412673
15,0.15,0.021949700745835708
16,0.16,0.022037675410173048
17,0.17,0.022126002678022175
18,0.18,0.022348372776335664
19,0.19,0.022482866134419098
20,0.2,0.022663450498027784
21,0.21,0.022754285879948363
22,0.22,0.0229370503108903
23,0.23,0.02307508635278533
24,0.24,0.023353655554260517
25,0.25,0.02344725728633999
26,0.26,0.023588363773234883
27,0.27,0.02363558772473284
28,0.28,0.02368290621867625
29,0.29,0.023730319444339266
30,0.3,0.02387312941007607
31,0.31,0.024016798811622882
32,0.32,0.024161332821097153
33,0.33,0.024355398777161173
34,0.34,0.024453015508115003
35,0.35000000000000003,0.024551023488099455
36,0.36,0.024698772482012597
37,0.37,0.024748219473968578
38,0.38,0.0249469993553874
39,0.39,0.02509713134714314
40,0.4,0.02514737585434463
41,0.41000000000000003,0.02524816683894022
42,0.42,0.025400111268076248
43,0.43,0.02550191521924695
44,0.44,0.02560412720187722
45,0.45,0.025758213814027427
46,0.46,0.025861453044505267
47,0.47000000000000003,0.02606917451614132
48,0.48,0.026226059800731324
49,0.49,0.02638388922693599
50,0.5,0.026436709825988915
51,0.51,0.026489636171986894
52,0.52,0.026595806952064222
53,0.53,0.026809426819050193
54,0.54,0.027351013348484454
55,0.55,0.027570699099849907
56,0.56,0.027681202793132183
57,0.5700000000000001,0.02773662061654186
58,0.58,0.027847789325256753
59,0.59,0.027959403599491964
60,0.6,0.028015378381472934
61,0.61,0.028071465225079487
62,0.62,0.02812766435465923
63,0.63,0.02812766435465923
64,0.64,0.028183975995008898
65,0.65,0.028240400371375287
66,0.66,0.028410352175812174
67,0.67,0.028524221208712196
68,0.68,0.028638546630064335
69,0.6900000000000001,0.028695881057752136
70,0.7000000000000001,0.02881089449384189
71,0.71,0.028984279553624294
72,0.72,0.02910044889435089
73,0.73,0.02921708384319103
74,0.74,0.029510720515896368
75,0.75,0.02956980103744972
76,0.76,0.029747753225700165
77,0.77,0.029866982578078374
78,0.78,0.02998668980313356
79,0.79,0.03010687681618519
80,0.8,0.03028806114691645
81,0.81,0.03040945605993523
82,0.8200000000000001,0.030531337525224085
83,0.8300000000000001,0.030531337525224085
84,0.84,0.030653707492890352
85,0.85,0.030899920774896065
86,0.86,0.031335562185376316
87,0.87,0.03152414079143062
88,0.88,0.031587252184406465
89,0.89,0.031840963779705946
90,0.9,0.03196858274513668
91,0.91,0.03235451684009322
92,0.92,0.032549227554047225
93,0.93,0.03281066582035456
94,0.9400000000000001,0.03287635283901393
95,0.9500000000000001,0.033008121656235595
96,0.96,0.03314041860446005
97,0.97,0.03347348546025249
98,0.98,0.03374234744757494
99,0.99,0.03421806270723731
100,1.0,0.034355209113732854
