,cdf,Time to First Chunk
0,0.0,0.04855774802864329
1,0.01,0.09719837585163005
2,0.02,0.11025038914509439
3,0.03,0.12233388619092724
4,0.04,0.12834912559691156
5,0.05,0.13439108714188872
6,0.06,0.14099918722241173
7,0.07,0.15001782894227444
8,0.08,0.1592944165901874
9,0.09,0.16513349025318164
10,0.1,0.17118660017665313
11,0.11,0.17960396036377235
12,0.12,0.18805871388699866
13,0.13,0.19889046392600004
14,0.14,0.20908779955502088
15,0.15,0.21849306436201546
16,0.16,0.2242483808556669
17,0.17,0.23433560454339966
18,0.18,0.24244001201658402
19,0.19,0.2533455383920093
20,0.2,0.26210739717417253
21,0.21,0.27171516894970854
22,0.22,0.28111233439584005
23,0.23,0.28909471422853333
24,0.24,0.2978989619977798
25,0.25,0.3088187043244026
26,0.26,0.31505725807746504
27,0.27,0.328571479539346
28,0.28,0.3392558079871081
29,0.29,0.35098884066444797
30,0.3,0.3602342227531751
31,0.31,0.3697231370573561
32,0.32,0.37870383261762963
33,0.33,0.39180116017555705
34,0.34,0.40535145380983495
35,0.35000000000000003,0.41271384517123605
36,0.36,0.42443314123644965
37,0.37,0.43387414373397
38,0.38,0.44441308816509617
39,0.39,0.45067862994348856
40,0.4,0.4662651784051929
41,0.41000000000000003,0.477590911630712
42,0.42,0.4931209818933002
43,0.43,0.5153027324615405
44,0.44,0.5331242808517261
45,0.45,0.5548815028924697
46,0.46,0.58333089562673
47,0.47000000000000003,0.6421067912162779
48,0.48,0.9185117991206834
49,0.49,1.2523221839545662
50,0.5,1.6209293555166808
51,0.51,1.741940436062509
52,0.52,1.9136257028039878
53,0.53,2.1361384854316605
54,0.54,2.5728129026177378
55,0.55,2.8662365166470787
56,0.56,3.3035574346399446
57,0.5700000000000001,3.947174307260429
58,0.58,4.763582543446756
59,0.59,5.139727413494517
60,0.6,5.370924534811798
61,0.61,5.760360638893143
62,0.62,6.007448390019206
63,0.63,6.1780340563418745
64,0.64,6.391699006972676
65,0.65,7.2936212320281655
66,0.66,7.838129222691577
67,0.67,8.093005717598098
68,0.68,8.25649533298111
69,0.6900000000000001,8.42328765878727
70,0.7000000000000001,8.576279685115974
71,0.71,8.819809098882674
72,0.72,9.984164291797148
73,0.73,10.622775069587881
74,0.74,11.056298891666769
75,0.75,11.324859997038017
76,0.76,11.507515162571764
77,0.77,11.69311631679807
78,0.78,12.09751828314596
79,0.79,12.845587292456953
80,0.8,13.369825833082473
81,0.81,13.667221457547209
82,0.8200000000000001,13.915458961687523
83,0.8300000000000001,14.367955125555637
84,0.84,14.746420818989014
85,0.85,15.044318380426558
86,0.86,15.256420156567279
87,0.87,15.47151224189346
88,0.88,15.721047479445145
89,0.89,16.232256897404195
90,0.9,16.527083095347376
91,0.91,16.8947080935399
92,0.92,17.20156638096479
93,0.93,17.40922872890176
94,0.9400000000000001,18.522764201112988
95,0.9500000000000001,18.821512138145472
96,0.96,19.163366933711085
97,0.97,19.62885136541647
98,0.98,20.025380599686507
99,0.99,20.47082099980388
100,1.0,21.477385027032522
