,cdf,Session Duration
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,14.253469997488642
6,0.06,14.367955125555637
7,0.07,14.512355523599844
8,0.08,14.62892004304429
9,0.09,14.984261281160485
10,0.1,21.306251337243193
11,0.11,22.30923091071944
12,0.12,24.557088921536373
13,0.13,25.20394615391064
14,0.14,26.655635570970322
15,0.15,28.30392858672967
16,0.16,28.417371072605857
17,0.17,28.76043390005068
18,0.18,28.933515286058807
19,0.19,29.107638282436444
20,0.2,29.400175008601114
21,0.21,29.934169872743254
22,0.22,30.0541463852828
23,0.23,31.155806935467375
24,0.24,31.406053124477214
25,0.25,32.16891639591199
26,0.26,32.622448695053734
27,0.27,32.88447508002318
28,0.28,33.348095657277305
29,0.29,33.88595678175108
30,0.3,34.84817204209353
31,0.31,36.41572541820215
32,0.32,37.67514938749509
33,0.33,38.35944246645889
34,0.34,38.900251672510336
35,0.35000000000000003,39.5276618047685
36,0.36,39.845151470422216
37,0.37,40.81300319254295
38,0.38,40.976582199748535
39,0.39,41.05861739934763
40,0.4,41.388403835355575
41,0.41000000000000003,42.05594460457494
42,0.42,42.14014068986939
43,0.43,42.22450533589516
44,0.44,42.309038880111146
45,0.45,42.309038880111146
46,0.46,42.4786140163289
47,0.47000000000000003,42.4786140163289
48,0.48,42.563656286631854
49,0.49,42.563656286631854
50,0.5,42.648868811730225
51,0.51,42.648868811730225
52,0.52,42.648868811730225
53,0.53,42.734251932474436
54,0.54,42.734251932474436
55,0.55,42.734251932474436
56,0.56,42.819805990397306
57,0.5700000000000001,42.819805990397306
58,0.58,42.819805990397306
59,0.59,42.905531327715394
60,0.6,42.99142828733044
61,0.61,43.07749721283061
62,0.62,43.163738448491934
63,0.63,43.250152339279715
64,0.64,43.336739230849844
65,0.65,43.5104334024222
66,0.66,43.59754137720183
67,0.67,43.8599130407983
68,0.68,44.47827043141523
69,0.6900000000000001,44.65653987375613
70,0.7000000000000001,44.925284630616794
71,0.71,45.924593315993896
72,0.72,46.47900845847786
73,0.73,47.3232058756696
74,0.74,48.37585342237466
75,0.75,49.05787863440143
76,0.76,49.55091867664183
77,0.77,49.94891602546512
78,0.78,50.55191397047976
79,0.79,50.856137313068416
80,0.8,51.16219148331339
81,0.81,51.779836445041
82,0.8200000000000001,52.40493779766367
83,0.8300000000000001,53.35676776573205
84,0.84,53.89301237649229
85,0.85,54.10901621767679
86,0.86,54.21734257647094
87,0.87,54.434646336994085
88,0.88,54.54362460793902
89,0.89,54.871870217092805
90,0.9,55.534299507112806
91,0.91,55.534299507112806
92,0.92,55.75688164683858
93,0.93,55.86850703552094
94,0.9400000000000001,56.09242868303638
95,0.9500000000000001,56.317247811205746
96,0.96,56.54296801714225
97,0.97,56.76959291237637
98,0.98,56.88324575103979
99,0.99,57.111234483520185
100,1.0,57.91641514808947
