,cdf,End to End Latency
0,0.0,2.526916561338285
1,0.01,4.5041536377956355
2,0.02,5.39245126488446
3,0.03,6.055700745298896
4,0.04,6.141076822258666
5,0.05,6.240124351660217
6,0.06,6.443037697095705
7,0.07,6.937907011436486
8,0.08,7.206620794869713
9,0.09,7.440962204169176
10,0.1,7.60647741947226
11,0.11,7.698305042926664
12,0.12,7.7446337357194635
13,0.13,7.791241236349044
14,0.14,7.82246862484404
15,0.15,7.853821173087354
16,0.16,8.076835876004495
17,0.17,8.389661793508544
18,0.18,8.576279685115974
19,0.19,8.66247275778687
20,0.2,8.767048666281621
21,0.21,8.890650583404684
22,0.22,8.980003137188218
23,0.23,9.179752458833915
24,0.24,9.234996558568573
25,0.25,9.421555927004546
26,0.26,9.884820164268726
27,0.27,10.185857857444494
28,0.28,10.247156737766502
29,0.29,10.288227465101512
30,0.3,10.35014240961921
31,0.31,10.370863415444274
32,0.32,10.412429960629876
33,0.33,10.433275666256764
34,0.34,10.454163105028046
35,0.35000000000000003,10.454163105028046
36,0.36,10.496063516370434
37,0.37,10.538131865064955
38,0.38,10.559229226156177
39,0.39,10.58036882420654
40,0.4,10.601550743774519
41,0.41000000000000003,10.601550743774519
42,0.42,10.644041886544015
43,0.43,10.686703334324303
44,0.44,10.708098135794422
45,0.45,10.751016321791406
46,0.46,10.77253987799119
47,0.47000000000000003,10.794106524393577
48,0.48,10.815716347265234
49,0.49,10.837369433045545
50,0.5,10.88080573995524
51,0.51,10.902589134830023
52,0.52,10.924416140104958
53,0.53,10.946286843088153
54,0.54,10.968201331262502
55,0.55,11.01216201399233
56,0.56,11.034208384390714
57,0.5700000000000001,11.10061267047728
58,0.58,11.167416580085268
59,0.59,11.23462251816424
60,0.6,11.438676770342003
61,0.61,11.76348593590392
62,0.62,11.857971292390696
63,0.63,12.02515046986769
64,0.64,12.292635415290063
65,0.65,12.441035710712994
66,0.66,12.566070240192689
67,0.67,12.717771520914832
68,0.68,12.897072560677953
69,0.6900000000000001,13.052769798368335
70,0.7000000000000001,13.236793799175965
71,0.71,13.289847027776641
72,0.72,13.31645332813255
73,0.73,13.369825833082473
74,0.74,13.396592251166725
75,0.75,13.477213453290293
76,0.76,13.531230286753546
77,0.77,13.612661745700427
78,0.78,13.667221457547209
79,0.79,13.749471316536576
80,0.8,13.80457936278718
81,0.81,13.88765584687896
82,0.8200000000000001,13.915458961687523
83,0.8300000000000001,13.971232288414402
84,0.84,14.055311696156437
85,0.85,14.083450458310905
86,0.86,14.111645554323536
87,0.87,14.1965699744448
88,0.88,14.253469997488642
89,0.89,14.28200547295909
90,0.9,14.310598076508555
91,0.91,14.339247922507571
92,0.92,14.367955125555637
93,0.93,14.396719800481671
94,0.9400000000000001,14.4255420623445
95,0.9500000000000001,14.454422026433278
96,0.96,14.512355523599844
97,0.97,14.57052121891919
98,0.98,14.62892004304429
99,0.99,14.835165340816452
100,1.0,15.10461618926814
