,cdf,Normalized End to End Latency
0,0.0,0.00842120716419861
1,0.01,0.015010551382498934
2,0.02,0.018006871588826297
3,0.03,0.020221643246189514
4,0.04,0.020506737348862922
5,0.05,0.02075430068885643
6,0.06,0.021472080259448016
7,0.07,0.023121282721859978
8,0.08,0.024016798811622882
9,0.09,0.02484741063499535
10,0.1,0.025349361795013157
11,0.11,0.025706748851362038
12,0.12,0.02580978180965111
13,0.13,0.025965106059059384
14,0.14,0.02606917451614132
15,0.15,0.026226059800731324
16,0.16,0.026970766970177622
17,0.17,0.027959403599491964
18,0.18,0.028638546630064335
19,0.19,0.028926368905165502
20,0.2,0.02921708384319103
21,0.21,0.029628999838325495
22,0.22,0.029926776336993432
23,0.23,0.030592461324073388
24,0.24,0.030838182671449714
25,0.25,0.03139829604360529
26,0.26,0.033008121656235595
27,0.27,0.03401336895809113
28,0.28,0.03414969494958049
29,0.29,0.034355209113732854
30,0.3,0.03456196006994819
31,0.31,0.034631153183201334
32,0.32,0.034700484821205746
33,0.33,0.03476995526128824
34,0.34,0.03483956478133087
35,0.35000000000000003,0.03490931365977195
36,0.36,0.03504923060839133
37,0.37,0.03511939923823797
38,0.38,0.03518970834582203
39,0.39,0.03526015821238024
40,0.4,0.03533074911971233
41,0.41000000000000003,0.03540148135018221
42,0.42,0.03547235518671911
43,0.43,0.03561452881254402
44,0.44,0.03568582917052709
45,0.45,0.03590058784889573
46,0.46,0.03597246089764227
47,0.47000000000000003,0.03604447783637629
48,0.48,0.03611663895316584
49,0.49,0.03618894453665566
50,0.5,0.036261394876068394
51,0.51,0.036333990261205665
52,0.52,0.0364067309824493
53,0.53,0.036479617330762514
54,0.54,0.036625828075364034
55,0.55,0.036699153056495896
56,0.56,0.03677262483438678
57,0.5700000000000001,0.0369939238904306
58,0.58,0.03721655473261771
59,0.59,0.03759058745127963
60,0.6,0.0381968744142284
61,0.61,0.03912468894917585
62,0.62,0.039517898741957595
63,0.63,0.040155270712838094
64,0.64,0.04096646126348448
65,0.65,0.04154402542933529
66,0.66,0.041877710705449364
67,0.67,0.042383270695668794
68,0.68,0.04298080969782792
69,0.6900000000000001,0.04358677308190096
70,0.7000000000000001,0.044112965373737816
71,0.71,0.044289770669018014
72,0.72,0.044467284602046214
73,0.73,0.04455630819484311
74,0.74,0.04473489041347754
75,0.75,0.04491418839179008
76,0.76,0.04509420499855417
77,0.77,0.04536558364079609
78,0.78,0.04554740944514214
79,0.79,0.045821515488995365
80,0.8,0.04609727111345461
81,0.81,0.046282029529983074
82,0.8200000000000001,0.046467528460465056
83,0.8300000000000001,0.04656055654547099
84,0.84,0.04684075974714052
85,0.85,0.047028498075046575
86,0.86,0.04712264922234397
87,0.87,0.0474062351191396
88,0.88,0.047501142496755494
89,0.89,0.04759623987913139
90,0.9,0.04769152764665718
91,0.91,0.04778700618048432
92,0.92,0.04788267586252734
93,0.93,0.047978537075465344
94,0.9400000000000001,0.048074590202743524
95,0.9500000000000001,0.04826727373794137
96,0.96,0.04836390491659591
97,0.97,0.04855774802864329
98,0.98,0.048849970404683835
99,0.99,0.049439701556267444
100,1.0,0.05053942799259056
