,cdf,Intra-session Think Time
0,0.0,0.0012247693541962092
1,0.01,0.0013671832215893826
2,0.02,0.0015948068504072024
3,0.03,0.0017172989123305313
4,0.04,0.0017415101886581947
5,0.05,0.0017590126628963681
6,0.06,0.0018752700692448378
7,0.07,0.0019169831865468684
8,0.08,0.001999211209096748
9,0.09,0.0022272168202254377
10,0.1,0.0024369634420353115
11,0.11,0.0025111800530360708
12,0.12,0.0026346564640361203
13,0.13,0.0026825096832826926
14,0.14,0.002704055837635681
15,0.15,0.002736699991764428
16,0.16,0.002747668718215662
17,0.17,0.0027697382356837615
18,0.18,0.002791985017462528
19,0.19,0.002803175326961066
20,0.2,0.0028256906784058645
21,0.21,0.0028598032439609844
22,0.22,0.0028770136487447045
23,0.23,0.002894327626399543
24,0.24,0.0029059281263044516
25,0.25,0.002923416112385909
26,0.26,0.0029587084480052206
27,0.27,0.0029646317882414674
28,0.28,0.002988443972222496
29,0.29,0.003000421691572367
30,0.3,0.003018478343526609
31,0.31,0.00303057644099756
32,0.32,0.0030427230277885464
33,0.33,0.003054918298245344
34,0.34,0.0030733029128530136
35,0.35000000000000003,0.0030794556714373042
36,0.36,0.0030794556714373042
37,0.37,0.0030856207478565986
38,0.38,0.003091798166771227
39,0.39,0.0031104047258315613
40,0.4,0.0031228712653473805
41,0.41000000000000003,0.003141664823497778
42,0.42,0.0031479544427640365
43,0.43,0.003173239090473852
44,0.44,0.003185957470878176
45,0.45,0.003205130684214904
46,0.46,0.0032308745765385607
47,0.47000000000000003,0.003250318102726968
48,0.48,0.0032764249443812984
49,0.49,0.0032829843536793593
50,0.5,0.0032829843536793593
51,0.51,0.00330274147849022
52,0.52,0.0033159789060218177
53,0.53,0.00332261750243027
54,0.54,0.003342613141038989
55,0.55,0.0033694613045807593
56,0.56,0.003376206972858198
57,0.5700000000000001,0.003382966145977034
58,0.58,0.0033965251149398997
59,0.59,0.0034169655323740807
60,0.6,0.0034444109008803627
61,0.61,0.003472076713006963
62,0.62,0.003549308865104197
63,0.63,0.0035778172269306427
64,0.64,0.0036065545704334983
65,0.65,0.003650093953619426
66,0.66,0.003672060357977158
67,0.67,0.003731285884183365
68,0.68,0.003791466640590731
69,0.6900000000000001,0.003868059373184482
70,0.7000000000000001,0.00390693402919959
71,0.71,0.0041485254201163975
72,0.72,0.004292000588915427
73,0.73,0.004352511203293967
74,0.74,0.0045392099661650965
75,0.75,0.0046494688564112955
76,0.76,0.004743394389346121
77,0.77,0.004839217344547774
78,0.78,0.004917267584935146
79,0.79,0.004976630279558816
80,0.8,0.00503670961802017
81,0.81,0.005056896810690399
82,0.8200000000000001,0.005087329408193483
83,0.8300000000000001,0.005294947330512906
84,0.84,0.0054019123979731284
85,0.85,0.005489038172906209
86,0.86,0.00556642517817541
87,0.87,0.0055887354771758145
88,0.88,0.005622368700018833
89,0.89,0.005656204328877208
90,0.9,0.00573594812012338
91,0.91,0.005851821997485991
92,0.92,0.005875276170367526
93,0.93,0.005898824347855797
94,0.9400000000000001,0.0059224669067223954
95,0.9500000000000001,0.0059462042252490166
96,0.96,0.0060300365694987675
97,0.97,0.0061150508210083745
98,0.98,0.006415731979871571
99,0.99,0.006584728502440463
100,1.0,0.00709048063867145
