,cdf,Output Throughput
0,0.0,65.30057834625956
1,0.01,66.22121617776664
2,0.02,66.61973797750802
3,0.03,66.75311082631185
4,0.04,67.1548335882953
5,0.05,67.28927769958321
6,0.06,67.55897393315244
7,0.07,67.69422713421983
8,0.08,67.82975111246652
9,0.09,67.96554640998895
10,0.1,67.96554640998895
11,0.11,68.23795313667556
12,0.12,68.51145167279597
13,0.13,68.64861173620498
14,0.14,68.92375619692676
15,0.15,69.33854198537861
16,0.16,69.47735788524926
17,0.17,69.75582397049466
18,0.18,70.03540615115575
19,0.19,70.1756171744814
20,0.2,70.45688189134836
21,0.21,70.59793670994965
22,0.22,70.88089408858933
23,0.23,71.02279778045839
24,0.24,71.16498556380265
25,0.25,71.30745800737382
26,0.26,71.73658900405921
27,0.27,72.02411011477574
28,0.28,72.16830252741794
29,0.29,72.45755395112361
30,0.3,72.60261411919393
31,0.31,72.8936062689781
32,0.32,73.1857647187952
33,0.33,73.47909414318976
34,0.34,73.77359923544194
35,0.35000000000000003,74.06928470764261
36,0.36,74.36615529076886
37,0.37,74.6642157347595
38,0.38,75.41460382948434
39,0.39,76.63094265837398
40,0.4,78.02278912874269
41,0.41000000000000003,78.33550540509405
42,0.42,78.96470309310095
43,0.43,79.43991568219364
44,0.44,80.07798409094674
45,0.45,80.55989644746275
46,0.46,80.88278148043352
47,0.47000000000000003,81.69566722086319
48,0.48,82.18731485603398
49,0.49,83.34602972874508
50,0.5,84.69029207376887
51,0.51,85.88429507985344
52,0.52,86.57412531227352
53,0.53,86.92111544680155
54,0.54,87.44421002830843
55,0.55,88.32303924404637
56,0.56,88.67703904662787
57,0.5700000000000001,88.85457065633084
58,0.58,89.03245768467185
59,0.59,89.38930084488781
60,0.6,89.74757423677778
61,0.61,89.92724906007459
62,0.62,89.92724906007459
63,0.63,90.287678554875
64,0.64,90.46843466809798
65,0.65,90.64955265542152
66,0.66,90.83103324131827
67,0.67,91.19508511397694
68,0.68,91.37765785694788
69,0.6900000000000001,91.56059611091575
70,0.7000000000000001,91.92757208032228
71,0.71,92.29601889382377
72,0.72,92.48079570842596
73,0.73,92.66594244658097
74,0.74,92.85145984887643
75,0.75,93.22360961565575
76,0.76,93.59725096317209
77,0.77,93.78463284698218
78,0.78,93.97238986969887
79,0.79,94.34903233747076
80,0.8,94.72718439277924
81,0.81,95.1068520860692
82,0.8200000000000001,95.67920874227033
83,0.8300000000000001,96.4477125850635
84,0.84,97.41702853615287
85,0.85,98.00328792216996
86,0.86,98.59307543948877
87,0.87,99.18641232053767
88,0.88,99.9830863317801
89,0.89,102.41170810175863
90,0.9,103.02802565952958
91,0.91,104.89932188646694
92,0.92,105.95357795162072
93,0.93,107.23268057997814
94,0.9400000000000001,108.31038729772496
95,0.9500000000000001,109.39892515168134
96,0.96,110.27762696664914
97,0.97,113.40903671922271
98,0.98,115.70005200342865
99,0.99,122.11962555631553
100,1.0,130.9743005569187
