,cdf,Time Between Chunks
0,0.0,2.7344257834774033e-05
1,0.01,0.004396254682776975
2,0.02,0.006351894358878077
3,0.03,0.00709048063867145
4,0.04,0.007604598671440492
5,0.05,0.007727250892263793
6,0.06,0.007836193258244726
7,0.07,0.007962580796555435
8,0.08,0.008058707404285789
9,0.09,0.008139698787313627
10,0.1,0.008237963615308814
11,0.11,0.008320756553811835
12,0.12,0.00842120716419861
13,0.13,0.00857416140254051
14,0.14,0.00869504390558313
15,0.15,0.00876488326506922
16,0.16,0.008817630666203351
17,0.17,0.008852971835866322
18,0.18,0.00890624935737269
19,0.19,0.00895984750503156
20,0.2,0.008995758681493436
21,0.21,0.009031813790382074
22,0.22,0.009068013408580383
23,0.23,0.009104358115283404
24,0.24,0.009140848492007607
25,0.25,0.009159148488988602
26,0.26,0.009195858466188983
27,0.27,0.00921426859324842
28,0.28,0.009232715577419089
29,0.29,0.009251199492488997
30,0.3,0.009269720412393876
31,0.31,0.009288278411217488
32,0.32,0.009306873563191898
33,0.33,0.00932550594269779
34,0.34,0.009344175624264752
35,0.35000000000000003,0.009362882682571589
36,0.36,0.009381627192446609
37,0.37,0.009400409228867918
38,0.38,0.00941922886696375
39,0.39,0.009438086182012728
40,0.4,0.009456981249444186
41,0.41000000000000003,0.00947591414483847
42,0.42,0.009494884943927235
43,0.43,0.009513893722593756
44,0.44,0.009532940556873218
45,0.45,0.009552025522953048
46,0.46,0.009571148697173173
47,0.47000000000000003,0.009590310156026375
48,0.48,0.009609509976158559
49,0.49,0.009648025007611067
50,0.5,0.009667340372991665
51,0.51,0.009686694407772431
52,0.52,0.009725518795354299
53,0.53,0.00976449879154811
54,0.54,0.009803635020035043
55,0.55,0.009862633668771789
56,0.56,0.009961754818238753
57,0.5700000000000001,0.01020372909115209
58,0.58,0.010748360894102584
59,0.59,0.011009442085099047
60,0.6,0.011164658304373295
61,0.61,0.011322062833876125
62,0.62,0.011435851495213556
63,0.63,0.01157390844418901
64,0.64,0.01171363205709135
65,0.65,0.011855042454375702
66,0.66,0.01199815999939721
67,0.67,0.012094530278658418
68,0.68,0.012167315622267012
69,0.6900000000000001,0.01221608236948377
70,0.7000000000000001,0.012240538990844098
71,0.71,0.012289599218201957
72,0.72,0.0123142030204406
73,0.73,0.012338856079540583
74,0.74,0.012388310362971326
75,0.75,0.012413111785119417
76,0.76,0.012437962859764295
77,0.77,0.012437962859764295
78,0.78,0.01246286368631037
79,0.79,0.012487814364361043
80,0.8,0.012512814993719123
81,0.81,0.01253786567438723
82,0.8200000000000001,0.012562966506568189
83,0.8300000000000001,0.012588117590665422
84,0.84,0.012613319027283364
85,0.85,0.012638570917227877
86,0.86,0.012663873361506612
87,0.87,0.01268922646132945
88,0.88,0.012714630318108891
89,0.89,0.01274008503346046
90,0.9,0.01279114744735968
91,0.91,0.0128167553501572
92,0.92,0.012868125059607022
93,0.93,0.012945565926055102
94,0.9400000000000001,0.013075671070196661
95,0.9500000000000001,0.013446963825009393
96,0.96,0.016924350101212383
97,0.97,0.028695881057752136
98,0.98,0.05207858323916838
99,0.99,0.06946019745182111
100,1.0,0.39573882861822257
