,cdf,End to End Latency
0,0.0,2.2910260553747532
1,0.01,2.4278347133817784
2,0.02,2.5831247676464013
3,0.03,2.6353073669778864
4,0.04,2.7101387486186908
5,0.05,2.7373761049881793
6,0.06,2.764887201431816
7,0.07,2.798265729602692
8,0.08,2.8263887771524017
9,0.09,2.854794466123588
10,0.1,2.9008385634379037
11,0.11,2.924138354611238
12,0.12,2.9832098876860953
13,0.13,3.0313251576320135
14,0.14,3.0373938766663113
15,0.15,3.0617904921586314
16,0.16,3.0802164638908716
17,0.17,3.098753323822401
18,0.18,3.129896322912432
19,0.19,3.148732158126672
20,0.2,3.161352314451672
21,0.21,3.174023052514867
22,0.22,3.186744575048471
23,0.23,3.1995170855972517
24,0.24,3.2059225252080576
25,0.25,3.212340788521787
26,0.26,3.231672777668404
27,0.27,3.231672777668404
28,0.28,3.244625360993144
29,0.29,3.2511211074615987
30,0.3,3.2641516399258412
31,0.31,3.2706864780438107
32,0.32,3.277234398920775
33,0.33,3.290369593770964
34,0.34,3.29695692028502
35,0.35000000000000003,3.3035574346399446
36,0.36,3.3101711632378223
37,0.37,3.3167981325335942
38,0.38,3.3234383690351623
39,0.39,3.3367587499527573
40,0.4,3.3434389476503608
41,0.41000000000000003,3.3501325191171283
42,0.42,3.356839491127373
43,0.43,3.3702937441436616
44,0.44,3.3838019219677067
45,0.45,3.3905763001898643
46,0.46,3.4178097080559167
47,0.47000000000000003,3.4452618570557285
48,0.48,3.4659955740591792
49,0.49,3.4868540673608095
50,0.5,3.536013352755416
51,0.51,3.5930446188766747
52,0.52,3.636420905970153
53,0.53,3.6583050254066505
54,0.54,3.695071614473752
55,0.55,3.724750755558294
56,0.56,3.739679601343251
57,0.5700000000000001,3.7772640187688933
58,0.58,3.7999957374195623
59,0.59,3.822864256418379
60,0.6,3.8458703990350456
61,0.61,3.9000912631390414
62,0.62,3.978878359406965
63,0.63,4.002823400834266
64,0.64,4.034974431408211
65,0.65,4.043052458297918
66,0.66,4.0592570611321745
67,0.67,4.075526612209306
68,0.68,4.0918613718426515
69,0.6900000000000001,4.108261601388884
70,0.7000000000000001,4.124727563252205
71,0.71,4.132985276091548
72,0.72,4.1495503307401576
73,0.73,4.166181778326844
74,0.74,4.182879884955302
75,0.75,4.191254018859116
76,0.76,4.216477145089314
77,0.77,4.216477145089314
78,0.78,4.233376836152106
79,0.79,4.241852065053311
80,0.8,4.258853459100224
81,0.81,4.267379692251575
82,0.8200000000000001,4.2759229949387665
83,0.8300000000000001,4.301655662290029
84,0.84,4.301655662290029
85,0.85,4.327543189812955
86,0.86,4.353586509461949
87,0.87,4.362302398369781
88,0.88,4.37978655879996
89,0.89,4.397340795955234
90,0.9,4.406144281032221
91,0.91,4.414965390703957
92,0.92,4.4238041602549165
93,0.93,4.432660625040211
94,0.9400000000000001,4.441534820485737
95,0.9500000000000001,4.450426782088312
96,0.96,4.468264146107338
97,0.97,4.495154329828011
98,0.98,4.5041536377956355
99,0.99,4.522206339697921
100,1.0,4.595143607599803
