,cdf,Time to First Chunk
0,0.0,0.05801803032916732
1,0.01,0.10487341246957661
2,0.02,0.11047111064488437
3,0.03,0.11991151214539592
4,0.04,0.13120409684582243
5,0.05,0.1412814678775116
6,0.06,0.14912041659875017
7,0.07,0.15551686131708756
8,0.08,0.1602530564529447
9,0.09,0.16349038402661403
10,0.1,0.16679310997739533
11,0.11,0.17221680765292285
12,0.12,0.1742958593996865
13,0.13,0.17888697920162275
14,0.14,0.1817721919818646
15,0.15,0.18507371712359524
16,0.16,0.18919045838583287
17,0.17,0.1922418527962633
18,0.18,0.195733538204134
19,0.19,0.19809649081050018
20,0.2,0.1996876192952873
21,0.21,0.20250290794146134
22,0.22,0.20576901473490394
23,0.23,0.20867004171375214
24,0.24,0.2120356163010872
25,0.25,0.21502499273445652
26,0.26,0.21849306436201546
27,0.27,0.22113077663475186
28,0.28,0.22469732656308566
29,0.29,0.22740993850643093
30,0.3,0.22969544715067292
31,0.31,0.2334001340017798
32,0.32,0.24050822871257613
33,0.33,0.24733762678434026
34,0.34,0.2533455383920093
35,0.35000000000000003,0.2589809038437427
36,0.36,0.26686804924184654
37,0.37,0.27171516894970854
38,0.38,0.2783152190057239
39,0.39,0.2873653386814699
40,0.4,0.29493481681683503
41,0.41000000000000003,0.30149528552590366
42,0.42,0.3051350249250737
43,0.43,0.3075858963558501
44,0.44,0.30943695998871573
45,0.45,0.3125468541804428
46,0.46,0.3144277730463412
47,0.47000000000000003,0.3175878257599865
48,0.48,0.3188607215817742
49,0.49,0.32077963754203814
50,0.5,0.3227101016115966
51,0.51,0.3240035275765469
52,0.52,0.3259533931390539
53,0.53,0.3279149930667399
54,0.54,0.328571479539346
55,0.55,0.32988839797746117
56,0.56,0.33121059464050046
57,0.5700000000000001,0.3332038326069433
58,0.58,0.3345393175718159
59,0.59,0.3365525879195709
60,0.6,0.3392558079871081
61,0.61,0.341980740556631
62,0.62,0.34403879367117474
63,0.63,0.3481921307622794
64,0.64,0.3516915210261385
65,0.65,0.35522608075862405
66,0.66,0.3587961634188904
67,0.67,0.3616780458465515
68,0.68,0.3645830758080317
69,0.6900000000000001,0.36824719786345367
70,0.7000000000000001,0.371948144970086
71,0.71,0.37493566527347066
72,0.72,0.37794718160340857
73,0.73,0.38098288669810126
74,0.74,0.3825098706858852
75,0.75,0.39023708524878337
76,0.76,0.39494814164795633
77,0.77,0.3997160712999163
78,0.78,0.40292662603650115
79,0.79,0.4069761073074159
80,0.8,0.41106628655534155
81,0.81,0.41519757280188396
82,0.8200000000000001,0.4202099595180835
83,0.8300000000000001,0.42358512297224105
84,0.84,0.426987396036926
85,0.85,0.43127869214752745
86,0.86,0.4364852148468585
87,0.87,0.4408719656554126
88,0.88,0.44619430116253844
89,0.89,0.457947486227485
90,0.9,0.47189406821467106
91,0.91,0.48626538700023475
92,0.92,0.49708177310937074
93,0.93,0.5071234944098811
94,0.9400000000000001,0.5163343695635656
95,0.9500000000000001,0.537406382093016
96,0.96,0.5548815028924697
97,0.97,0.5821653993317715
98,0.98,0.607137089182762
99,0.99,0.6369904279215228
100,1.0,0.7239734144330422
