,cdf,Time Between Chunks
0,0.0,0.000851081336557303
1,0.01,0.006664221273683521
2,0.02,0.010082016040345662
3,0.03,0.013339817236495882
4,0.04,0.014249949487635409
5,0.05,0.015010551382498934
6,0.06,0.015498657232031206
7,0.07,0.01584340613926675
8,0.08,0.016131169647695245
9,0.09,0.016391344295595824
10,0.1,0.016655715219953002
11,0.11,0.016890535215895276
12,0.12,0.01709444270450204
13,0.13,0.017266244767447207
14,0.14,0.0174397734704088
15,0.15,0.017579851268977924
16,0.16,0.017685647483111043
17,0.17,0.01779208038288807
18,0.18,0.017934987941648994
19,0.19,0.018042921381796924
20,0.2,0.01815150436949626
21,0.21,0.018260740813748913
22,0.22,0.01833393008235185
23,0.23,0.018407412694422778
24,0.24,0.018481189825685865
25,0.25,0.018555262656577566
26,0.26,0.018629632372265528
27,0.27,0.01870430016266761
28,0.28,0.01877926722247083
29,0.29,0.018854534751150547
30,0.3,0.018930103952989618
31,0.31,0.019044026039173982
32,0.32,0.01912035472437239
33,0.33,0.01923542174694104
34,0.34,0.019351181247231664
35,0.35000000000000003,0.019467637392601538
36,0.36,0.019584794375487293
37,0.37,0.019702656413555748
38,0.38,0.019821227749855865
39,0.39,0.019940512652971382
40,0.4,0.020100676609200927
41,0.41000000000000003,0.020221643246189514
42,0.42,0.020302691835303904
43,0.43,0.020424874207613106
44,0.44,0.020506737348862922
45,0.45,0.020588928598566522
46,0.46,0.020671449271786557
47,0.47000000000000003,0.02075430068885643
48,0.48,0.02083748417540145
49,0.49,0.02092100106236009
50,0.5,0.0210048526860052
51,0.51,0.021089040387965444
52,0.52,0.021173565515246733
53,0.53,0.02125842942025383
54,0.54,0.021343633460811928
55,0.55,0.02142917900018838
56,0.56,0.02151506740711458
57,0.5700000000000001,0.02160130005580778
58,0.58,0.021687878325993115
59,0.59,0.021774803602925667
60,0.6,0.021862077277412673
61,0.61,0.021949700745835708
62,0.62,0.022037675410173048
63,0.63,0.022126002678022175
64,0.64,0.022214683962622186
65,0.65,0.022348372776335664
66,0.66,0.022437945322961717
67,0.67,0.022572977732040426
68,0.68,0.022663450498027784
69,0.6900000000000001,0.022799840005834144
70,0.7000000000000001,0.0229370503108903
71,0.71,0.02307508635278533
72,0.72,0.023213953100834992
73,0.73,0.023400409619434216
74,0.74,0.02354123417528636
75,0.75,0.023730319444339266
76,0.76,0.02387312941007607
77,0.77,0.024113058429846207
78,0.78,0.02430673664174227
79,0.79,0.024501970494117235
80,0.8,0.024698772482012597
81,0.81,0.024996943298040815
82,0.8200000000000001,0.02529871371949866
83,0.8300000000000001,0.02550191521924695
84,0.84,0.025706748851362038
85,0.85,0.025965106059059384
86,0.86,0.02638388922693599
87,0.87,0.026916879323883557
88,0.88,0.027460636538635508
89,0.89,0.029158708051296542
90,0.9,0.03554337091281865
91,0.91,0.04420127961873029
92,0.92,0.05207858323916838
93,0.93,0.0590718107986494
94,0.9400000000000001,0.07100525563391903
95,0.9500000000000001,0.0750949952933328
96,0.96,0.07815968123135716
97,0.97,0.08118690307520607
98,0.98,0.08901046727499676
99,0.99,0.11660055836745689
100,1.0,0.4709512229235329
