,cdf,Intra-session Think Time
0,0.0,1.558807764119497e-05
1,0.01,0.00016247223889870194
2,0.02,0.0004329003124880577
3,0.03,0.0011328680538976103
4,0.04,0.0014258278531978513
5,0.05,0.0015261567045186512
6,0.06,0.0015948068504072024
7,0.07,0.001727633682555813
8,0.08,0.0019440097043602314
9,0.09,0.0019753640358435333
10,0.1,0.0020395979681143406
11,0.11,0.0020724940131502737
12,0.12,0.0021143611835090894
13,0.13,0.002285883843537185
14,0.14,0.0024663831785291697
15,0.15,0.0025567905723906372
16,0.16,0.0026452161988020626
17,0.17,0.0026878800730390146
18,0.18,0.0027257750526006397
19,0.19,0.0027697382356837615
20,0.2,0.0028200449427846735
21,0.21,0.0028598032439609844
22,0.22,0.0028770136487447045
23,0.23,0.002917575121152371
24,0.24,0.0029351331992921795
25,0.25,0.002988443972222496
26,0.26,0.0030124474177653164
27,0.27,0.0030488145653817167
28,0.28,0.0030794556714373042
29,0.29,0.0031041901309747546
30,0.3,0.0031104047258315613
31,0.31,0.003141664823497778
32,0.32,0.003160571481996519
33,0.33,0.003198726826703985
34,0.34,0.0032179768865101526
35,0.35000000000000003,0.0032373427939090043
36,0.36,0.0032568252460757714
37,0.37,0.00330274147849022
38,0.38,0.0033292693893220184
39,0.39,0.003349305059239268
40,0.4,0.0034033249650198593
41,0.41000000000000003,0.0034306607712861585
42,0.42,0.0034375289610184636
43,0.43,0.003458216141159202
44,0.44,0.0034790278175375077
45,0.45,0.003513992640107546
46,0.46,0.0035210276604080576
47,0.47000000000000003,0.0035351399815797126
48,0.48,0.0035564145885578595
49,0.49,0.003628258953125838
50,0.5,0.003650093953619426
51,0.51,0.0036647235740451356
52,0.52,0.003679411830165301
53,0.53,0.0036941589569924904
54,0.54,0.003708965190481205
55,0.55,0.0037387559259935426
56,0.56,0.0037537409046698913
57,0.5700000000000001,0.003791466640590731
58,0.58,0.0038142838311601636
59,0.59,0.0038372383364509996
60,0.6,0.003930446106909064
61,0.61,0.003954099681197205
62,0.62,0.00404205385192213
63,0.63,0.004099040601309497
64,0.64,0.0041485254201163975
65,0.65,0.004232331220953368
66,0.66,0.004326474316167258
67,0.67,0.004476103779640413
68,0.68,0.004686813800313624
69,0.6900000000000001,0.004829548578624602
70,0.7000000000000001,0.004848905467359682
71,0.71,0.004927111964484566
72,0.72,0.004976630279558816
73,0.73,0.005016603012865004
74,0.74,0.00504679312075895
75,0.75,0.005138457935886235
76,0.76,0.005200490905216419
77,0.77,0.005263272754722705
78,0.78,0.00536959795309176
79,0.79,0.005434421312413881
80,0.8,0.0055110383038596104
81,0.81,0.005599924136789781
82,0.8200000000000001,0.0056336246934122645
83,0.8300000000000001,0.0056902435818380415
84,0.84,0.00573594812012338
85,0.85,0.005793595376428735
86,0.86,0.005840130045443066
87,0.87,0.005910633806009663
88,0.88,0.006017988544384883
89,0.89,0.006054205028526359
90,0.9,0.006139560018177549
91,0.91,0.006188873505705842
92,0.92,0.006263587399476705
93,0.93,0.006377352827792948
94,0.9400000000000001,0.006441446310738462
95,0.9500000000000001,0.006584728502440463
96,0.96,0.0068124588253167095
97,0.97,0.007005903321642825
98,0.98,0.007513888804862196
99,0.99,0.007978521899251242
100,1.0,0.01043069871834225
