,cdf,Output Throughput
0,0.0,28.70297049565497
1,0.01,29.107638282436444
2,0.02,29.341433400192315
3,0.03,29.57710638095293
4,0.04,29.755102533038666
5,0.05,29.99409814075676
6,0.06,30.174603765126243
7,0.07,30.235013382273646
8,0.08,30.538880420353877
9,0.09,30.600019320094326
10,0.1,30.969431716511867
11,0.11,31.155806935467375
12,0.12,31.34330376758515
13,0.13,31.721689311571495
14,0.14,31.848830223500734
15,0.15,32.23331863093885
16,0.16,32.36251015932786
17,0.17,32.42729996945664
18,0.18,32.557268977381305
19,0.19,32.622448695053734
20,0.2,32.687758902651446
21,0.21,32.687758902651446
22,0.22,32.81877183311004
23,0.23,33.08237510283853
24,0.24,33.2814660955245
25,0.25,33.48175522538304
26,0.26,33.548785766374806
27,0.27,33.61595050264383
28,0.28,33.68324970284932
29,0.29,33.88595678175108
30,0.3,33.953796535067895
31,0.31,34.08988375956996
32,0.32,34.226516423303046
33,0.33,34.36369671239413
34,0.34,34.43249290200854
35,0.35000000000000003,34.63970895500363
36,0.36,34.70905772168032
37,0.37,34.77854532472673
38,0.38,34.98784393437458
39,0.39,35.12807563327819
40,0.4,35.198402111022496
41,0.41000000000000003,35.41022743479259
42,0.42,35.55215205184124
43,0.43,35.766106256221086
44,0.44,35.90945723986225
45,0.45,36.05338277596838
46,0.46,36.270353405925924
47,0.47000000000000003,36.48862977339375
48,0.48,36.708219736349946
49,0.49,36.78170966575206
50,0.5,37.07714360165317
51,0.51,37.374950488982456
52,0.52,37.449775214686134
53,0.53,37.524749739640455
54,0.54,37.59987436374385
55,0.55,37.67514938749509
56,0.56,37.90187987065511
57,0.5700000000000001,38.20631111243247
58,0.58,38.43623814707242
59,0.59,38.5902910514165
60,0.6,38.8225288919459
61,0.61,39.212701924648975
62,0.62,39.448685457506215
63,0.63,39.5276618047685
64,0.64,39.68608914824719
65,0.65,39.845151470422216
66,0.66,40.1651912410706
67,0.67,40.56885825924053
68,0.68,40.731458730619785
69,0.6900000000000001,40.81300319254295
70,0.7000000000000001,40.976582199748535
71,0.71,41.05861739934763
72,0.72,41.305709721798415
73,0.73,41.720839145102175
74,0.74,41.97191674322714
75,0.75,42.22450533589516
76,0.76,42.4786140163289
77,0.77,42.648868811730225
78,0.78,43.163738448491934
79,0.79,43.250152339279715
80,0.8,43.77228084691059
81,0.81,44.47827043141523
82,0.8200000000000001,44.745942355985854
83,0.8300000000000001,45.0152251403878
84,0.84,45.19564670365433
85,0.85,45.37679139871435
86,0.86,45.558662123888844
87,0.87,45.8328358867911
88,0.88,46.10865963783521
89,0.89,46.29346369970624
90,0.9,46.47900845847786
91,0.91,46.758720900655646
92,0.92,46.94613041587921
93,0.93,47.228654015778176
94,0.9400000000000001,48.18273643577533
95,0.9500000000000001,48.76441254344387
96,0.96,49.15609260564148
97,0.97,50.149111881082334
98,0.98,52.19573665795356
99,0.99,56.42999505407103
100,1.0,152.17043491294038
