,cdf,Normalized End to End Latency
0,0.0,0.00830413166559243
1,0.01,0.014920757694717035
2,0.02,0.017231746775903854
3,0.03,0.019158633712809566
4,0.04,0.020020434467290085
5,0.05,0.020588928598566522
6,0.06,0.02092100106236009
7,0.07,0.02190584519988998
8,0.08,0.02284548533117115
9,0.09,0.023825430849816174
10,0.1,0.024209703857776026
11,0.11,0.024404158334272612
12,0.12,0.024453015508115003
13,0.13,0.02460017468627383
14,0.14,0.024698772482012597
15,0.15,0.02479776545890145
16,0.16,0.02489715520083118
17,0.17,0.0249469993553874
18,0.18,0.025046987228567425
19,0.19,0.02509713134714314
20,0.2,0.025197720951150127
21,0.21,0.02524816683894022
22,0.22,0.02529871371949866
23,0.23,0.025349361795013157
24,0.24,0.025400111268076248
25,0.25,0.025450962341686013
26,0.26,0.02550191521924695
27,0.27,0.02555297010457077
28,0.28,0.02555297010457077
29,0.29,0.02560412720187722
30,0.3,0.025655386715794894
31,0.31,0.025706748851362038
32,0.32,0.025758213814027427
33,0.33,0.02580978180965111
34,0.34,0.025861453044505267
35,0.35000000000000003,0.025913227725275052
36,0.36,0.025913227725275052
37,0.37,0.025965106059059384
38,0.38,0.02601708825337182
39,0.39,0.02606917451614132
40,0.4,0.02606917451614132
41,0.41000000000000003,0.026121365055713178
42,0.42,0.02617366008084974
43,0.43,0.02617366008084974
44,0.44,0.026226059800731324
45,0.45,0.026278564424957015
46,0.46,0.02633117416354552
47,0.47000000000000003,0.02638388922693599
48,0.48,0.026436709825988915
49,0.49,0.026436709825988915
50,0.5,0.026489636171986894
51,0.51,0.026542668476635518
52,0.52,0.026649051810827114
53,0.53,0.02670240326590385
54,0.54,0.026755861530700437
55,0.55,0.026916879323883557
56,0.56,0.027078866128275373
57,0.5700000000000001,0.02718739854909769
58,0.58,0.027351013348484454
59,0.59,0.027405770131964907
60,0.6,0.027515612787962093
61,0.61,0.027625895694644402
62,0.62,0.027681202793132183
63,0.63,0.02773662061654186
64,0.64,0.027847789325256753
65,0.65,0.028015378381472934
66,0.66,0.028071465225079487
67,0.67,0.028353588235400958
68,0.68,0.02858132675667759
69,0.6900000000000001,0.02881089449384189
70,0.7000000000000001,0.029158708051296542
71,0.71,0.030592461324073388
72,0.72,0.03228987245080231
73,0.73,0.033206765788853364
74,0.74,0.033540499445157905
75,0.75,0.03394541017895408
76,0.76,0.034081463790840066
77,0.77,0.03428656733728183
78,0.78,0.03449290520467356
79,0.79,0.03483956478133087
80,0.8,0.03518970834582203
81,0.81,0.03611663895316584
82,0.8200000000000001,0.036846243702924095
83,0.8300000000000001,0.037067985800121155
84,0.84,0.03729106234970003
85,0.85,0.0375154813824459
86,0.86,0.03759058745127963
87,0.87,0.03766584388261353
88,0.88,0.03781680903748858
89,0.89,0.03796837926251835
90,0.9,0.03804439203381469
91,0.91,0.0381968744142284
92,0.92,0.03827334463327591
93,0.93,0.03842674465845936
94,0.9400000000000001,0.03858075951278698
95,0.9500000000000001,0.03873539166050142
96,0.96,0.03873539166050142
97,0.97,0.03889064357572196
98,0.98,0.03896850272201971
99,0.99,0.039281501172607196
100,1.0,0.039517898741957595
