,cdf,Output Throughput
0,0.0,61.497767479090754
1,0.01,61.74425127010534
2,0.02,64.52165403937661
3,0.03,64.65082651993593
4,0.04,64.78025760405994
5,0.05,64.78025760405994
6,0.06,64.90994780947346
7,0.07,65.03989765493789
8,0.08,66.35379118512954
9,0.09,66.61973797750802
10,0.1,66.88675068782601
11,0.11,66.88675068782601
12,0.12,67.0206580966104
13,0.13,67.82975111246652
14,0.14,68.92375619692676
15,0.15,69.33854198537861
16,0.16,70.1756171744814
17,0.17,70.59793670994965
18,0.18,70.7392739205802
19,0.19,71.02279778045839
20,0.2,71.73658900405921
21,0.21,72.74796469801115
22,0.22,73.62619943676972
23,0.23,73.77359923544194
24,0.24,73.77359923544194
25,0.25,74.06928470764261
26,0.26,74.36615529076886
27,0.27,74.81369364413838
28,0.28,74.96347080859108
29,0.29,74.96347080859108
30,0.3,74.96347080859108
31,0.31,75.11354782722691
32,0.32,75.11354782722691
33,0.33,75.11354782722691
34,0.34,75.11354782722691
35,0.35000000000000003,75.26392530035449
36,0.36,75.41460382948434
37,0.37,75.41460382948434
38,0.38,75.56558401733116
39,0.39,75.56558401733116
40,0.4,75.71686646781632
41,0.41000000000000003,75.71686646781632
42,0.42,75.86845178607021
43,0.43,76.17253345246557
44,0.44,76.17253345246557
45,0.45,76.325031016935
46,0.46,76.325031016935
47,0.47000000000000003,76.47783388183377
48,0.48,76.78435795899135
49,0.49,76.78435795899135
50,0.5,76.93808039734769
51,0.51,77.71132121951409
52,0.52,77.86689944017377
53,0.53,78.17899090878018
54,0.54,78.96470309310095
55,0.55,78.96470309310095
56,0.56,79.28119457193951
57,0.5700000000000001,79.28119457193951
58,0.58,79.59895455242828
59,0.59,79.91798811873706
60,0.6,80.39893761340188
61,0.61,80.55989644746275
62,0.62,81.04470897088486
63,0.63,81.20696064049625
64,0.64,81.20696064049625
65,0.65,81.53243911452779
66,0.66,82.18731485603398
67,0.67,82.5167226015414
68,0.68,83.01331137924744
69,0.6900000000000001,83.1795041948215
70,0.7000000000000001,83.34602972874508
71,0.71,83.51288864712096
72,0.72,83.84760930831112
73,0.73,84.01547239000945
74,0.74,85.02973178204074
75,0.75,85.7126980866869
76,0.76,86.22852036652087
77,0.77,88.67703904662787
78,0.78,91.19508511397694
79,0.79,92.85145984887643
80,0.8,93.97238986969887
81,0.81,94.53791928909735
82,0.8200000000000001,96.6408010987473
83,0.8300000000000001,99.9830863317801
84,0.84,101.59568261899977
85,0.85,104.68973283174878
86,0.86,108.96220333143697
87,0.87,113.63608183777971
88,0.88,114.31994810396213
89,0.89,116.16377920211256
90,0.9,117.0968169214218
91,0.91,118.51044399463755
92,0.92,120.18125918392467
93,0.93,120.6629471148342
94,0.9400000000000001,123.84132466073183
95,0.9500000000000001,127.3578850228035
96,0.96,132.82083697514912
97,0.97,138.79543303621298
98,0.98,165.5049664289111
99,0.99,169.8645256938739
100,1.0,177.15077846187063
