,cdf,Output Throughput
0,0.0,27.85466923853611
1,0.01,28.24737728086207
2,0.02,28.360593108424823
3,0.03,28.47426270638485
4,0.04,28.47426270638485
5,0.05,28.991440241586453
6,0.06,29.28280915763449
7,0.07,29.814672307879587
8,0.08,29.874361341528978
9,0.09,29.99409814075676
10,0.1,30.1143148465146
11,0.11,30.356195679214313
12,0.12,30.661280620034457
13,0.13,30.784171401186107
14,0.14,30.969431716511867
15,0.15,31.09355757096096
16,0.16,31.21818092332617
17,0.17,31.21818092332617
18,0.18,31.34330376758515
19,0.19,31.595055947686337
20,0.2,31.721689311571495
21,0.21,32.04049769614657
22,0.22,32.23331863093885
23,0.23,32.36251015932786
24,0.24,32.492219488915005
25,0.25,32.687758902651446
26,0.26,32.88447508002318
27,0.27,33.08237510283853
28,0.28,33.2149696597692
29,0.29,33.348095657277305
30,0.3,33.48175522538304
31,0.31,33.548785766374806
32,0.32,33.75068363618836
33,0.33,33.88595678175108
34,0.34,34.021772103706674
35,0.35000000000000003,34.08988375956996
36,0.36,34.226516423303046
37,0.37,34.50142682173228
38,0.38,34.57049874730132
39,0.39,34.70905772168032
40,0.4,34.91793815228792
41,0.41000000000000003,35.12807563327819
42,0.42,35.48111878100839
43,0.43,35.623327531424515
44,0.44,35.83771007254983
45,0.45,35.981348045147264
46,0.46,36.12556172046482
47,0.47000000000000003,36.19788516735264
48,0.48,36.34296672605789
49,0.49,36.48862977339375
50,0.5,36.634876639973626
51,0.51,36.78170966575206
52,0.52,37.003063394656856
53,0.53,37.1513721173722
54,0.54,37.30027526323027
55,0.55,37.59987436374385
56,0.56,37.67514938749509
57,0.5700000000000001,37.82615183894552
58,0.58,38.05379106060644
59,0.59,38.35944246645889
60,0.6,38.43623814707242
61,0.61,38.5902910514165
62,0.62,38.900251672510336
63,0.63,39.291205832406035
64,0.64,39.448685457506215
65,0.65,39.5276618047685
66,0.66,39.606796262836106
67,0.67,39.845151470422216
68,0.68,40.004851316295785
69,0.6900000000000001,40.084941108720805
70,0.7000000000000001,40.1651912410706
71,0.71,40.487801599381925
72,0.72,40.89471090664214
73,0.73,41.22318083124537
74,0.74,41.471263502693624
75,0.75,41.63748082513196
76,0.76,41.88805676971418
77,0.77,42.14014068986939
78,0.78,42.648868811730225
79,0.79,43.5104334024222
80,0.8,43.77228084691059
81,0.81,44.03570409928742
82,0.8200000000000001,44.389402758225586
83,0.8300000000000001,44.47827043141523
84,0.84,44.745942355985854
85,0.85,45.0152251403878
86,0.86,45.28612847883683
87,0.87,45.46763582593901
88,0.88,45.64987065666941
89,0.89,45.924593315993896
90,0.9,46.29346369970624
91,0.91,46.47900845847786
92,0.92,46.66529688287211
93,0.93,47.1342910706917
94,0.9400000000000001,47.89450547864771
95,0.9500000000000001,48.8620389949823
96,0.96,50.149111881082334
97,0.97,51.05996932250756
98,0.98,53.35676776573205
99,0.99,57.111234483520185
100,1.0,154.00748097611634
