,cdf,Time Between Chunks
0,0.0,1.3551623038999371e-05
1,0.01,0.006139560018177549
2,0.02,0.008660333186110461
3,0.03,0.011367441797760437
4,0.04,0.013049545853273191
5,0.05,0.01399574501585511
6,0.06,0.014713322452639456
7,0.07,0.015283187764556231
8,0.08,0.0156544213789748
9,0.09,0.01600263507149086
10,0.1,0.01629329065222864
11,0.11,0.01652300101856939
12,0.12,0.016755949948164837
13,0.13,0.016992183099781375
14,0.14,0.01719731771141653
15,0.15,0.017370153685716334
16,0.16,0.017544726691017927
17,0.17,0.017685647483111043
18,0.18,0.017827700163434393
19,0.19,0.017970893823414057
20,0.2,0.01807904334652525
21,0.21,0.018187843717583342
22,0.22,0.018297298853416077
23,0.23,0.018407412694422778
24,0.24,0.018518189204716273
25,0.25,0.01859241032956371
26,0.26,0.01870430016266761
27,0.27,0.01877926722247083
28,0.28,0.018854534751150547
29,0.29,0.01896800205900161
30,0.3,0.01908215221743059
31,0.31,0.019196989335858235
32,0.32,0.01931251754843599
33,0.33,0.019389922350829727
34,0.34,0.019545663917194606
35,0.35000000000000003,0.01966329046667553
36,0.36,0.019821227749855865
37,0.37,0.019940512652971382
38,0.38,0.02006051541717455
39,0.39,0.020181240362580743
40,0.4,0.020302691835303904
41,0.41000000000000003,0.020424874207613106
42,0.42,0.020506737348862922
43,0.43,0.02063014767483993
44,0.44,0.02071283355461296
45,0.45,0.02083748417540145
46,0.46,0.02092100106236009
47,0.47000000000000003,0.0210048526860052
48,0.48,0.021131260689042444
49,0.49,0.021215955035797776
50,0.5,0.0213009888385126
51,0.51,0.021386363457730474
52,0.52,0.021472080259448016
53,0.53,0.021558140615136834
54,0.54,0.021687878325993115
55,0.55,0.021774803602925667
56,0.56,0.021862077277412673
57,0.5700000000000001,0.021949700745835708
58,0.58,0.022037675410173048
59,0.59,0.022126002678022175
60,0.6,0.022259157804389196
61,0.61,0.022348372776335664
62,0.62,0.022482866134419098
63,0.63,0.022618168878651118
64,0.64,0.022754285879948363
65,0.65,0.022891222038540864
66,0.66,0.02307508635278533
67,0.67,0.023213953100834992
68,0.68,0.023400409619434216
69,0.6900000000000001,0.02354123417528636
70,0.7000000000000001,0.02368290621867625
71,0.71,0.02387312941007607
72,0.72,0.024016798811622882
73,0.73,0.024161332821097153
74,0.74,0.02430673664174227
75,0.75,0.024501970494117235
76,0.76,0.024698772482012597
77,0.77,0.0249469993553874
78,0.78,0.02514737585434463
79,0.79,0.025400111268076248
80,0.8,0.025655386715794894
81,0.81,0.025861453044505267
82,0.8200000000000001,0.02617366008084974
83,0.8300000000000001,0.026595806952064222
84,0.84,0.027078866128275373
85,0.85,0.027625895694644402
86,0.86,0.028240400371375287
87,0.87,0.029510720515896368
88,0.88,0.03274511004448971
89,0.89,0.03766584388261353
90,0.9,0.04376146939215274
91,0.91,0.05043845011448348
92,0.92,0.0550781900341556
93,0.93,0.05954628079266658
94,0.9400000000000001,0.06502383324391461
95,0.9500000000000001,0.07331417019270454
96,0.96,0.07769212705331388
97,0.97,0.08315895942472995
98,0.98,0.0981752360964997
99,0.99,0.11919419693100665
100,1.0,0.4597829452549909
