,cdf,Session Duration
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,11.69311631679807
5,0.05,11.834279042056252
6,0.06,11.90549818381622
7,0.07,12.001124195202623
8,0.08,12.07334741744537
9,0.09,20.348363772040837
10,0.1,21.955123511566782
11,0.11,22.66904959863203
12,0.12,23.594191377547254
13,0.13,23.64142699592072
14,0.14,23.688757180096744
15,0.15,23.783702003519156
16,0.16,24.022732262610404
17,0.17,25.053175191928883
18,0.18,25.66172498680418
19,0.19,27.194115310062983
20,0.2,27.79901555374385
21,0.21,28.417371072605857
22,0.22,29.049481162991018
23,0.23,29.459034217827526
24,0.24,29.814672307879587
25,0.25,29.934169872743254
26,0.26,30.0541463852828
27,0.27,30.356195679214313
28,0.28,30.416968843737266
29,0.29,30.47786367625726
30,0.3,30.538880420353877
31,0.31,30.538880420353877
32,0.32,30.661280620034457
33,0.33,30.784171401186107
34,0.34,30.784171401186107
35,0.35000000000000003,30.845801373961255
36,0.36,30.845801373961255
37,0.37,30.907554730065282
38,0.38,31.031432580809184
39,0.39,31.031432580809184
40,0.4,31.09355757096096
41,0.41000000000000003,31.155806935467375
42,0.42,31.21818092332617
43,0.43,31.21818092332617
44,0.44,31.21818092332617
45,0.45,31.28067978403353
46,0.46,31.34330376758515
47,0.47000000000000003,31.34330376758515
48,0.48,31.406053124477214
49,0.49,31.406053124477214
50,0.5,31.468928105707406
51,0.51,31.468928105707406
52,0.52,31.468928105707406
53,0.53,31.595055947686337
54,0.54,31.721689311571495
55,0.55,31.721689311571495
56,0.56,31.848830223500734
57,0.5700000000000001,32.29784979936916
58,0.58,32.42729996945664
59,0.59,32.492219488915005
60,0.6,32.492219488915005
61,0.61,32.687758902651446
62,0.62,32.75319986141552
63,0.63,32.950309864968155
64,0.64,33.08237510283853
65,0.65,33.08237510283853
66,0.66,33.2149696597692
67,0.67,33.2814660955245
68,0.68,33.41485861154611
69,0.6900000000000001,33.548785766374806
70,0.7000000000000001,33.61595050264383
71,0.71,33.68324970284932
72,0.72,33.68324970284932
73,0.73,34.63970895500363
74,0.74,34.84817204209353
75,0.75,34.91793815228792
76,0.76,35.198402111022496
77,0.77,36.05338277596838
78,0.78,36.34296672605789
79,0.79,36.78170966575206
80,0.8,36.92913120006213
81,0.81,37.59987436374385
82,0.8200000000000001,38.8225288919459
83,0.8300000000000001,39.36986690514359
84,0.84,41.55428905525158
85,0.85,42.4786140163289
86,0.86,42.99142828733044
87,0.87,43.163738448491934
88,0.88,43.250152339279715
89,0.89,43.336739230849844
90,0.9,43.5104334024222
91,0.91,43.8599130407983
92,0.92,44.56731601786451
93,0.93,44.745942355985854
94,0.9400000000000001,45.558662123888844
95,0.9500000000000001,45.924593315993896
96,0.96,46.10865963783521
97,0.97,46.38614330671266
98,0.98,46.47900845847786
99,0.99,46.66529688287211
100,1.0,47.04011666295805
