,cdf,End to End Latency
0,0.0,1.707447693024871
1,0.01,1.7177231782373727
2,0.02,1.7454278043028746
3,0.03,1.7664991200173035
4,0.04,1.7700356547921128
5,0.05,1.809407959671299
6,0.06,1.8166600885155442
7,0.07,1.8645126544600101
8,0.08,1.8794885845364053
9,0.09,1.883251324445387
10,0.1,1.9328579672965904
11,0.11,1.9719043014634094
12,0.12,2.031957748285002
13,0.13,2.0730060314981573
14,0.14,2.1532961381377436
15,0.15,2.1792913598487225
16,0.16,2.1836543055140853
17,0.17,2.1924064182094196
18,0.18,2.196795620247877
19,0.19,2.201193609477602
20,0.2,2.210016019913975
21,0.21,2.210016019913975
22,0.22,2.2144404764102994
23,0.23,2.2144404764102994
24,0.24,2.218873790677387
25,0.25,2.227767063492454
26,0.26,2.23222705761356
27,0.27,2.24117385048296
28,0.28,2.2501565022056855
29,0.29,2.2501565022056855
30,0.3,2.2546613200279193
31,0.31,2.2546613200279193
32,0.32,2.2682299576780154
33,0.33,2.281880251905995
34,0.34,2.309427778702519
35,0.35000000000000003,2.3279773062949447
36,0.36,2.356081330234542
37,0.37,2.365524532516843
38,0.38,2.3940818375695123
39,0.39,2.4036773463418264
40,0.4,2.4133113140285993
41,0.41000000000000003,2.432695243338499
42,0.42,2.447335295916136
43,0.43,2.4522348660781303
44,0.44,2.47688024446811
45,0.45,2.491786204064496
46,0.46,2.511800450612049
47,0.47000000000000003,2.526916561338285
48,0.48,2.531975453352976
49,0.49,2.547212978013691
50,0.5,2.5574222382369314
51,0.51,2.5574222382369314
52,0.52,2.5625422026778466
53,0.53,2.577963679199555
54,0.54,2.5986701108275883
55,0.55,2.61430900647579
56,0.56,2.6300420175933152
57,0.5700000000000001,2.6458697105706404
58,0.58,2.661792655206801
59,0.59,2.6724611521530237
60,0.6,2.6831724085631996
61,0.61,2.6831724085631996
62,0.62,2.7101387486186908
63,0.63,2.7210010172882364
64,0.64,2.7264484667722964
65,0.65,2.7319068220611302
66,0.66,2.742856337430598
67,0.67,2.764887201431816
68,0.68,2.7759689025580943
69,0.6900000000000001,2.7870950192756454
70,0.7000000000000001,2.7870950192756454
71,0.71,2.7926747890840047
72,0.72,2.798265729602692
73,0.73,2.8151057992825095
74,0.74,2.8207416467285205
75,0.75,2.8377169773331725
76,0.76,2.8377169773331725
77,0.77,2.8605097703600717
78,0.78,2.871974727891617
79,0.79,2.883485637110713
80,0.8,2.8950426821922735
81,0.81,2.9182959203362904
82,0.8200000000000001,2.9299924854513
83,0.8300000000000001,2.9358583362730246
84,0.84,2.9653642129725695
85,0.85,2.9653642129725695
86,0.86,2.977249428370039
87,0.87,2.9891822798536354
88,0.88,2.9891822798536354
89,0.89,3.001162958349363
90,0.9,3.0071712926003125
91,0.91,3.019224071275285
92,0.92,3.0313251576320135
93,0.93,3.0373938766663113
94,0.9400000000000001,3.0434747452882664
95,0.9500000000000001,3.0556730286378344
96,0.96,3.0679202028536436
97,0.97,3.1049570341804045
98,0.98,3.1361623816169613
99,0.99,3.148732158126672
100,1.0,3.167681348114238
