,cdf,Time Between Chunks
0,0.0,3.713302211287705e-05
1,0.01,0.004630908121017173
2,0.02,0.005231787657446427
3,0.03,0.005358869485653015
4,0.04,0.005423563327773694
5,0.05,0.0054671258667392236
6,0.06,0.005500027238317433
7,0.07,0.0055220714135770475
8,0.08,0.005555303449547687
9,0.09,0.0055887354771758145
10,0.1,0.005622368700018833
11,0.11,0.0056902435818380415
12,0.12,0.00581681617631342
13,0.13,0.006127293164994377
14,0.14,0.006364610864101053
15,0.15,0.006493184575592667
16,0.16,0.006571572201736286
17,0.17,0.0066243556492231
18,0.18,0.006664221273683521
19,0.19,0.006704326810989478
20,0.2,0.0067311978334072455
21,0.21,0.006771706438199156
22,0.22,0.006798847518972421
23,0.23,0.006826097381523547
24,0.24,0.006839763242147218
25,0.25,0.006867177095408477
26,0.26,0.006880925197701588
27,0.27,0.0069085040285753125
28,0.28,0.006922334867471355
29,0.29,0.0069500796687990965
30,0.3,0.006963993742210106
31,0.31,0.0069919055128083735
32,0.32,0.007005903321642825
33,0.33,0.007033983066339041
34,0.34,0.007062175354989411
35,0.35000000000000003,0.00709048063867145
36,0.36,0.007133151421061933
37,0.37,0.00716174117766964
38,0.38,0.00720484080869643
39,0.39,0.007248199814943368
40,0.4,0.007291819757340413
41,0.41000000000000003,0.007335702206211242
42,0.42,0.007379848741329812
43,0.43,0.007424260951977208
44,0.44,0.007468940436998884
45,0.45,0.007513888804862196
46,0.46,0.007544004561479118
47,0.47000000000000003,0.007574241022410438
48,0.48,0.0076198230932051384
49,0.49,0.007650363435722648
50,0.5,0.007681026184299946
51,0.51,0.007696403614098345
52,0.52,0.007727250892263793
53,0.53,0.0077582218066907845
54,0.54,0.007789316852914951
55,0.55,0.007820536528458022
56,0.56,0.007851881332835802
57,0.5700000000000001,0.007883351767566172
58,0.58,0.007914948336177091
59,0.59,0.007946671544214669
60,0.6,0.007978521899251242
61,0.61,0.00799449491606656
62,0.62,0.00804260609079071
63,0.63,0.008074840952642713
64,0.64,0.008107205012208357
65,0.65,0.008139698787313627
66,0.66,0.008172322797859965
67,0.67,0.00820507756583258
68,0.68,0.008237963615308814
69,0.6900000000000001,0.008287539993932908
70,0.7000000000000001,0.008320756553811835
71,0.71,0.008354106246061891
72,0.72,0.008387589604279218
73,0.73,0.00843806643780061
74,0.74,0.00847188630947529
75,0.75,0.008505841731602026
76,0.76,0.008539933247468646
77,0.77,0.008591326890833887
78,0.78,0.008625761032245905
79,0.79,0.00867767119048706
80,0.8,0.008712451400889604
81,0.81,0.008747371010793361
82,0.8200000000000001,0.00880001302251463
83,0.8300000000000001,0.008835283580450003
84,0.84,0.008888454653361955
85,0.85,0.00892407968641648
86,0.86,0.00895984750503156
87,0.87,0.009013768208383307
88,0.88,0.009049895499672129
89,0.89,0.009104358115283404
90,0.9,0.009159148488988602
91,0.91,0.00921426859324842
92,0.92,0.009288278411217488
93,0.93,0.009381627192446609
94,0.9400000000000001,0.00947591414483847
95,0.9500000000000001,0.009590310156026375
96,0.96,0.00976449879154811
97,0.97,0.010021705037940093
98,0.98,0.011322062833876125
99,0.99,0.02529871371949866
100,1.0,0.20618096471435318
