,cdf,Output Throughput
0,0.0,94.72718439277924
1,0.01,95.1068520860692
2,0.02,95.48804149203602
3,0.03,96.4477125850635
4,0.04,97.02813859078891
5,0.05,98.19949070079294
6,0.06,98.19949070079294
7,0.07,98.3960862777715
8,0.08,98.79045897390218
9,0.09,99.18641232053767
10,0.1,99.5839526529443
11,0.11,99.78331992552278
12,0.12,99.9830863317801
13,0.13,100.38381974319665
14,0.14,100.38381974319665
15,0.15,100.78615929894134
16,0.16,101.19011143646001
17,0.17,102.00287933571242
18,0.18,102.41170810175863
19,0.19,102.82217545841164
20,0.2,103.23428797316228
21,0.21,103.64805223982394
22,0.22,104.27181016368058
23,0.23,104.89932188646694
24,0.24,105.10933053889232
25,0.25,105.7418824911779
26,0.26,106.16569722679915
27,0.27,106.59121061697326
28,0.28,106.80460643402427
29,0.29,107.23268057997814
30,0.3,107.66247045225275
31,0.31,107.66247045225275
32,0.32,107.87801093363858
33,0.33,108.09398292749972
34,0.34,108.52722490993263
35,0.35000000000000003,109.61794201885188
36,0.36,109.83739735822897
37,0.37,110.05729204763485
38,0.38,110.27762696664914
39,0.39,111.16338659208947
40,0.4,111.83237208415753
41,0.41000000000000003,111.83237208415753
42,0.42,112.73061955949834
43,0.43,112.73061955949834
44,0.44,113.63608183777971
45,0.45,114.77814382963362
46,0.46,115.00792990336663
47,0.47000000000000003,115.93168373917126
48,0.48,117.0968169214218
49,0.49,117.0968169214218
50,0.5,117.33124498332656
51,0.51,117.56614237068058
52,0.52,118.27365989075216
53,0.53,118.51044399463755
54,0.54,118.98543527819187
55,0.55,119.94113678795277
56,0.56,120.90451457652556
57,0.5700000000000001,121.63212254761072
58,0.58,122.364109291163
59,0.59,123.10050115880195
60,0.6,124.0892552406332
61,0.61,124.58660646669667
62,0.62,124.83602910226563
63,0.63,126.3430862118549
64,0.64,127.10342371406671
65,0.65,127.86833695630982
66,0.66,129.67108405955375
67,0.67,130.9743005569187
68,0.68,132.2906146022168
69,0.6900000000000001,132.55546067749654
70,0.7000000000000001,133.08674455668097
71,0.71,133.08674455668097
72,0.72,133.35318448572338
73,0.73,133.88766565151673
74,0.74,134.15570902619444
75,0.75,134.42428902424487
76,0.76,134.69340671998904
77,0.77,135.23325951260148
78,0.78,135.50399676888296
79,0.79,135.50399676888296
80,0.8,135.77527604169356
81,0.81,136.0470984161514
82,0.8200000000000001,136.31946497954712
83,0.8300000000000001,136.59237682134795
84,0.84,137.13984070894466
85,0.85,137.6894988383812
86,0.86,137.9651534907103
87,0.87,142.4514376207488
88,0.88,147.083604568196
89,0.89,149.45587055176935
90,0.9,154.31580426135386
91,0.91,158.38063028267285
92,0.92,159.65275747306492
93,0.93,160.29264764340772
94,0.9400000000000001,164.18620832368592
95,0.9500000000000001,165.83630770304308
96,0.96,168.51103023761974
97,0.97,169.8645256938739
98,0.98,171.22889254500055
99,0.99,172.60421811100233
100,1.0,175.73922550376716
