,cdf,Session Duration
0,0.0,446.3045353381095
1,0.01,446.3045353381095
2,0.02,446.3045353381095
3,0.03,446.3045353381095
4,0.04,446.3045353381095
5,0.05,446.3045353381095
6,0.06,446.3045353381095
7,0.07,446.3045353381095
8,0.08,446.3045353381095
9,0.09,446.3045353381095
10,0.1,446.3045353381095
11,0.11,446.3045353381095
12,0.12,446.3045353381095
13,0.13,446.3045353381095
14,0.14,446.3045353381095
15,0.15,446.3045353381095
16,0.16,446.3045353381095
17,0.17,446.3045353381095
18,0.18,446.3045353381095
19,0.19,446.3045353381095
20,0.2,446.3045353381095
21,0.21,446.3045353381095
22,0.22,446.3045353381095
23,0.23,446.3045353381095
24,0.24,446.3045353381095
25,0.25,500.19677533310926
26,0.26,500.19677533310926
27,0.27,500.19677533310926
28,0.28,500.19677533310926
29,0.29,500.19677533310926
30,0.3,500.19677533310926
31,0.31,500.19677533310926
32,0.32,500.19677533310926
33,0.33,500.19677533310926
34,0.34,500.19677533310926
35,0.35000000000000003,500.19677533310926
36,0.36,500.19677533310926
37,0.37,500.19677533310926
38,0.38,500.19677533310926
39,0.39,500.19677533310926
40,0.4,500.19677533310926
41,0.41000000000000003,500.19677533310926
42,0.42,500.19677533310926
43,0.43,500.19677533310926
44,0.44,500.19677533310926
45,0.45,500.19677533310926
46,0.46,500.19677533310926
47,0.47000000000000003,500.19677533310926
48,0.48,500.19677533310926
49,0.49,500.19677533310926
50,0.5,511.3230483461316
51,0.51,511.3230483461316
52,0.52,511.3230483461316
53,0.53,511.3230483461316
54,0.54,511.3230483461316
55,0.55,511.3230483461316
56,0.56,511.3230483461316
57,0.5700000000000001,511.3230483461316
58,0.58,511.3230483461316
59,0.59,511.3230483461316
60,0.6,511.3230483461316
61,0.61,511.3230483461316
62,0.62,511.3230483461316
63,0.63,511.3230483461316
64,0.64,511.3230483461316
65,0.65,511.3230483461316
66,0.66,511.3230483461316
67,0.67,511.3230483461316
68,0.68,511.3230483461316
69,0.6900000000000001,511.3230483461316
70,0.7000000000000001,511.3230483461316
71,0.71,511.3230483461316
72,0.72,511.3230483461316
73,0.73,511.3230483461316
74,0.74,511.3230483461316
75,0.75,628.2898770745553
76,0.76,628.2898770745553
77,0.77,628.2898770745553
78,0.78,628.2898770745553
79,0.79,628.2898770745553
80,0.8,628.2898770745553
81,0.81,628.2898770745553
82,0.8200000000000001,628.2898770745553
83,0.8300000000000001,628.2898770745553
84,0.84,628.2898770745553
85,0.85,628.2898770745553
86,0.86,628.2898770745553
87,0.87,628.2898770745553
88,0.88,628.2898770745553
89,0.89,628.2898770745553
90,0.9,628.2898770745553
91,0.91,628.2898770745553
92,0.92,628.2898770745553
93,0.93,628.2898770745553
94,0.9400000000000001,628.2898770745553
95,0.9500000000000001,628.2898770745553
96,0.96,628.2898770745553
97,0.97,628.2898770745553
98,0.98,628.2898770745553
99,0.99,628.2898770745553
100,1.0,652.6243268853126
