,cdf,Requests per Session
0,0.0,114.09153661923892
1,0.01,114.09153661923892
2,0.02,114.09153661923892
3,0.03,114.09153661923892
4,0.04,114.09153661923892
5,0.05,114.09153661923892
6,0.06,114.09153661923892
7,0.07,114.09153661923892
8,0.08,114.09153661923892
9,0.09,114.09153661923892
10,0.1,114.09153661923892
11,0.11,114.09153661923892
12,0.12,114.09153661923892
13,0.13,114.09153661923892
14,0.14,114.09153661923892
15,0.15,114.09153661923892
16,0.16,114.09153661923892
17,0.17,114.09153661923892
18,0.18,114.09153661923892
19,0.19,114.09153661923892
20,0.2,114.09153661923892
21,0.21,114.09153661923892
22,0.22,114.09153661923892
23,0.23,114.09153661923892
24,0.24,114.09153661923892
25,0.25,123.10050115880195
26,0.26,123.10050115880195
27,0.27,123.10050115880195
28,0.28,123.10050115880195
29,0.29,123.10050115880195
30,0.3,123.10050115880195
31,0.31,123.10050115880195
32,0.32,123.10050115880195
33,0.33,123.10050115880195
34,0.34,123.10050115880195
35,0.35000000000000003,123.10050115880195
36,0.36,123.10050115880195
37,0.37,123.10050115880195
38,0.38,123.10050115880195
39,0.39,123.10050115880195
40,0.4,123.10050115880195
41,0.41000000000000003,123.10050115880195
42,0.42,123.10050115880195
43,0.43,123.10050115880195
44,0.44,123.10050115880195
45,0.45,123.10050115880195
46,0.46,123.10050115880195
47,0.47000000000000003,123.10050115880195
48,0.48,123.10050115880195
49,0.49,123.10050115880195
50,0.5,123.10050115880195
51,0.51,123.10050115880195
52,0.52,123.10050115880195
53,0.53,123.10050115880195
54,0.54,123.10050115880195
55,0.55,123.10050115880195
56,0.56,123.10050115880195
57,0.5700000000000001,123.10050115880195
58,0.58,123.10050115880195
59,0.59,123.10050115880195
60,0.6,123.10050115880195
61,0.61,123.10050115880195
62,0.62,123.10050115880195
63,0.63,123.10050115880195
64,0.64,123.10050115880195
65,0.65,123.10050115880195
66,0.66,123.10050115880195
67,0.67,123.10050115880195
68,0.68,123.10050115880195
69,0.6900000000000001,123.10050115880195
70,0.7000000000000001,123.10050115880195
71,0.71,123.10050115880195
72,0.72,123.10050115880195
73,0.73,123.10050115880195
74,0.74,123.10050115880195
75,0.75,139.91025019505676
76,0.76,139.91025019505676
77,0.77,139.91025019505676
78,0.78,139.91025019505676
79,0.79,139.91025019505676
80,0.8,139.91025019505676
81,0.81,139.91025019505676
82,0.8200000000000001,139.91025019505676
83,0.8300000000000001,139.91025019505676
84,0.84,139.91025019505676
85,0.85,139.91025019505676
86,0.86,139.91025019505676
87,0.87,139.91025019505676
88,0.88,139.91025019505676
89,0.89,139.91025019505676
90,0.9,139.91025019505676
91,0.91,139.91025019505676
92,0.92,139.91025019505676
93,0.93,139.91025019505676
94,0.9400000000000001,139.91025019505676
95,0.9500000000000001,139.91025019505676
96,0.96,139.91025019505676
97,0.97,139.91025019505676
98,0.98,139.91025019505676
99,0.99,139.91025019505676
100,1.0,143.0223846944321
