,cdf,Time to First Chunk
0,0.0,0.05043845011448348
1,0.01,0.09062716283432032
2,0.02,0.09584707928634441
3,0.03,0.09975867412621578
4,0.04,0.1025913909125238
5,0.05,0.10571576496756607
6,0.06,0.107420821856104
7,0.07,0.10959086713497894
8,0.08,0.11225286503361988
9,0.09,0.11406335678801822
10,0.1,0.11824444710361351
11,0.11,0.12184552785120135
12,0.12,0.12430697161877663
13,0.13,0.1273264284940292
14,0.14,0.13041922896138114
15,0.15,0.13305387303868366
16,0.16,0.13547052820607952
17,0.17,0.13765549047147596
18,0.18,0.1412814678775116
19,0.19,0.1447132408020166
20,0.2,0.1473416648620447
21,0.21,0.1494189559713202
22,0.22,0.1521328498536126
23,0.23,0.15396944217894318
24,0.24,0.15582820638478942
25,0.25,0.1580251446914154
26,0.26,0.15993287052596578
27,0.27,0.16121746544688773
28,0.28,0.16316372991267478
29,0.29,0.16513349025318164
30,0.3,0.1661272698835136
31,0.31,0.16679310997739533
32,0.32,0.16846940916272116
33,0.33,0.16948326448003614
34,0.34,0.17050322121724426
35,0.35000000000000003,0.17187271812714278
36,0.36,0.1736000682401979
37,0.37,0.17499443929850303
38,0.38,0.1767531632414308
39,0.39,0.17852956265976133
40,0.4,0.18068482383406423
41,0.41000000000000003,0.18250073711150622
42,0.42,0.18396659912715668
43,0.43,0.18581549480567608
44,0.44,0.1869337395266882
45,0.45,0.18881245547197503
46,0.46,0.1903290137661421
47,0.47000000000000003,0.19185775319027681
48,0.48,0.1937859563121857
49,0.49,0.19534246220372614
50,0.5,0.1969114700878593
51,0.51,0.19809649081050018
52,0.52,0.2000873943088915
53,0.53,0.20290831916857138
54,0.54,0.2049475823621422
55,0.55,0.20783702840652488
56,0.56,0.2103460978919005
57,0.5700000000000001,0.21288545759904617
58,0.58,0.21502499273445652
59,0.59,0.21762083743065702
60,0.6,0.21980796394052537
61,0.61,0.22246155006612653
62,0.62,0.2242483808556669
63,0.63,0.22604956362769368
64,0.64,0.2292365151883339
65,0.65,0.23107776309523603
66,0.66,0.23386740153731894
67,0.67,0.23621780878570242
68,0.68,0.23906949936495386
69,0.6900000000000001,0.24195561638817922
70,0.7000000000000001,0.24487657546149416
71,0.71,0.24832895896450582
72,0.72,0.25132685889624573
73,0.73,0.25385273666706837
74,0.74,0.2584634594804186
75,0.75,0.26210739717417253
76,0.76,0.26686804924184654
77,0.77,0.27117228149925954
78,0.78,0.2749953940585467
79,0.79,0.27775914464207613
80,0.8,0.28111233439584005
81,0.81,0.2856463083245313
82,0.8200000000000001,0.28967348242518703
83,0.8300000000000001,0.29375743349359745
84,0.84,0.2978989619977798
85,0.85,0.30330969563094884
86,0.86,0.3088187043244026
87,0.87,0.3144277730463412
88,0.88,0.3188607215817742
89,0.89,0.3253021376083066
90,0.9,0.33253809068365264
91,0.91,0.3433514034740295
92,0.92,0.35593724408346616
93,0.93,0.37269278590095706
94,0.9400000000000001,0.38635416008546986
95,0.9500000000000001,0.4069761073074159
96,0.96,0.4278422256586215
97,0.97,0.4453028040573186
98,0.98,0.47001026143917013
99,0.99,0.5184038439210604
100,1.0,0.6319148322587597
