,cdf,Normalized End to End Latency
0,0.0,0.006467263704952446
1,0.01,0.017060287973823713
2,0.02,0.018370634647081274
3,0.03,0.019196989335858235
4,0.04,0.019702656413555748
5,0.05,0.019940512652971382
6,0.06,0.020262127016452143
7,0.07,0.02046576484666739
8,0.08,0.020795850840385675
9,0.09,0.020962884948370824
10,0.1,0.02104690444313434
11,0.11,0.021215955035797776
12,0.12,0.0213009888385126
13,0.13,0.021386363457730474
14,0.14,0.02151506740711458
15,0.15,0.02160130005580778
16,0.16,0.021731297501820922
17,0.17,0.02190584519988998
18,0.18,0.022037675410173048
19,0.19,0.02217029897967988
20,0.2,0.022259157804389196
21,0.21,0.022437945322961717
22,0.22,0.022482866134419098
23,0.23,0.022572977732040426
24,0.24,0.02284548533117115
25,0.25,0.0229370503108903
26,0.26,0.02298297033153271
27,0.27,0.02307508635278533
28,0.28,0.023167571576157994
29,0.29,0.023306994903802454
30,0.3,0.02354123417528636
31,0.31,0.02363558772473284
32,0.32,0.023730319444339266
33,0.33,0.02387312941007607
34,0.34,0.023968813199611645
35,0.35000000000000003,0.024064880490925433
36,0.36,0.02430673664174227
37,0.37,0.024404158334272612
38,0.38,0.024501970494117235
39,0.39,0.02460017468627383
40,0.4,0.024748219473968578
41,0.41000000000000003,0.02479776545890145
42,0.42,0.02489715520083118
43,0.43,0.02509713134714314
44,0.44,0.02524816683894022
45,0.45,0.02555297010457077
46,0.46,0.025655386715794894
47,0.47000000000000003,0.025758213814027427
48,0.48,0.025861453044505267
49,0.49,0.025965106059059384
50,0.5,0.02606917451614132
51,0.51,0.02638388922693599
52,0.52,0.026436709825988915
53,0.53,0.026649051810827114
54,0.54,0.026916879323883557
55,0.55,0.02702476249964745
56,0.56,0.02702476249964745
57,0.5700000000000001,0.02718739854909769
58,0.58,0.027296365969166802
59,0.59,0.027405770131964907
60,0.6,0.027515612787962093
61,0.61,0.027625895694644402
62,0.62,0.02779214938654495
63,0.63,0.027903540655237234
64,0.64,0.027959403599491964
65,0.65,0.028015378381472934
66,0.66,0.028071465225079487
67,0.67,0.028071465225079487
68,0.68,0.028240400371375287
69,0.6900000000000001,0.028296937709456103
70,0.7000000000000001,0.028467229757745738
71,0.71,0.028524221208712196
72,0.72,0.028753330269078968
73,0.73,0.028984279553624294
74,0.74,0.029158708051296542
75,0.75,0.02927557650353776
76,0.76,0.02933418626630761
77,0.77,0.029451758037343144
78,0.78,0.029628999838325495
79,0.79,0.02980730828721308
80,0.8,0.029866982578078374
81,0.81,0.029926776336993432
82,0.8200000000000001,0.0302275455402293
83,0.8300000000000001,0.03028806114691645
84,0.84,0.03040945605993523
85,0.85,0.03047033585184701
86,0.86,0.030531337525224085
87,0.87,0.03096178247814911
88,0.88,0.03139829604360529
89,0.89,0.03146115549514405
90,0.9,0.031587252184406465
91,0.91,0.031777345470455784
92,0.92,0.0319047094529386
93,0.93,0.03203258391179361
94,0.9400000000000001,0.03216097089301623
95,0.9500000000000001,0.03228987245080231
96,0.96,0.032419290647580895
97,0.97,0.03261439117277405
98,0.98,0.03327324580044266
99,0.99,0.033674930169957415
100,1.0,0.03428656733728183
