,cdf,Session Duration
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,8.32281223165543
4,0.04,17.513998130093775
5,0.05,18.4119603230175
6,0.06,18.4119603230175
7,0.07,19.550492755533178
8,0.08,22.714433081311974
9,0.09,24.410187484056635
10,0.1,24.7543336255018
11,0.11,24.953162616324942
12,0.12,25.053175191928883
13,0.13,25.15358861913759
14,0.14,25.20394615391064
15,0.15,25.355624461280854
16,0.16,25.406386472214354
17,0.17,25.66172498680418
18,0.18,25.7645774889031
19,0.19,25.7645774889031
20,0.2,25.816158224616622
21,0.21,25.816158224616622
22,0.22,26.023515884264672
23,0.23,26.075615015164104
24,0.24,26.180126393469997
25,0.25,26.23253905892239
26,0.26,26.285056654635955
27,0.27,26.390407477549488
28,0.28,26.390407477549488
29,0.29,26.60237755784151
30,0.3,26.709000206748026
31,0.31,26.977430211401757
32,0.32,27.194115310062983
33,0.33,27.194115310062983
34,0.34,28.13461341223975
35,0.35000000000000003,28.19093896461661
36,0.36,28.360593108424823
37,0.37,28.360593108424823
38,0.38,28.417371072605857
39,0.39,28.47426270638485
40,0.4,28.588387893459355
41,0.41000000000000003,29.459034217827526
42,0.42,29.636319807141025
43,0.43,29.636319807141025
44,0.44,29.874361341528978
45,0.45,30.0541463852828
46,0.46,30.295543939595497
47,0.47000000000000003,30.295543939595497
48,0.48,30.356195679214313
49,0.49,30.416968843737266
50,0.5,30.600019320094326
51,0.51,30.600019320094326
52,0.52,30.661280620034457
53,0.53,30.969431716511867
54,0.54,31.031432580809184
55,0.55,31.09355757096096
56,0.56,31.155806935467375
57,0.5700000000000001,31.28067978403353
58,0.58,31.34330376758515
59,0.59,31.34330376758515
60,0.6,31.468928105707406
61,0.61,31.595055947686337
62,0.62,31.658309312946972
63,0.63,31.721689311571495
64,0.64,31.78519619708015
65,0.65,31.848830223500734
66,0.66,31.912591645369606
67,0.67,32.04049769614657
68,0.68,32.23331863093885
69,0.6900000000000001,32.23331863093885
70,0.7000000000000001,32.42729996945664
71,0.71,32.42729996945664
72,0.72,32.622448695053734
73,0.73,32.687758902651446
74,0.74,32.75319986141552
75,0.75,32.75319986141552
76,0.76,32.81877183311004
77,0.77,32.81877183311004
78,0.78,32.88447508002318
79,0.79,33.08237510283853
80,0.8,33.08237510283853
81,0.81,33.2814660955245
82,0.8200000000000001,33.348095657277305
83,0.8300000000000001,33.48175522538304
84,0.84,33.61595050264383
85,0.85,33.88595678175108
86,0.86,34.63970895500363
87,0.87,34.63970895500363
88,0.88,34.84817204209353
89,0.89,35.41022743479259
90,0.9,35.48111878100839
91,0.91,35.623327531424515
92,0.92,35.6946455044604
93,0.93,35.90945723986225
94,0.9400000000000001,35.981348045147264
95,0.9500000000000001,35.981348045147264
96,0.96,36.19788516735264
97,0.97,36.19788516735264
98,0.98,36.41572541820215
99,0.99,36.41572541820215
100,1.0,36.41572541820215
