,cdf,End to End Latency
0,0.0,2.28644858073864
1,0.01,4.459336545415816
2,0.02,4.522206339697921
3,0.03,4.792249964524238
4,0.04,4.869542682560328
5,0.05,5.0379539582793065
6,0.06,5.150017158066078
7,0.07,5.264573068356051
8,0.08,5.3281285365063455
9,0.09,5.370924534811798
10,0.1,5.446646319245281
11,0.11,5.534493593763969
12,0.12,5.567800386887839
13,0.13,5.601307621560588
14,0.14,5.646297818369505
15,0.15,5.6802774535730025
16,0.16,5.70304407386125
17,0.17,5.7259019430371785
18,0.18,5.760360638893143
19,0.19,5.783448233550435
20,0.2,5.795026708492479
21,0.21,5.818253245173273
22,0.22,5.864985968363993
23,0.23,5.888492902598986
24,0.24,5.923930077038799
25,0.25,5.971511605862952
26,0.26,5.995445496133053
27,0.27,6.031526315352022
28,0.28,6.055700745298896
29,0.29,6.0678242703145076
30,0.3,6.092144182901027
31,0.31,6.128806938497908
32,0.32,6.153371270351273
33,0.33,6.190402492891106
34,0.34,6.215213700466616
35,0.35000000000000003,6.252617093104983
36,0.36,6.265134845043132
37,0.37,6.302838665029864
38,0.38,6.328100518134338
39,0.39,6.366183267938592
40,0.4,6.3789283795861165
41,0.41000000000000003,6.40449520118083
42,0.42,6.430164494903704
43,0.43,6.481812143218157
44,0.44,6.520819935433368
45,0.45,6.5338746299988
46,0.46,6.546955460088887
47,0.47000000000000003,6.560062478027002
48,0.48,6.5863552872647775
49,0.49,6.599541183735776
50,0.5,6.62599222410041
51,0.51,6.639257473798307
52,0.52,6.665867697530743
53,0.53,6.679212778006281
54,0.54,6.6925845753596445
55,0.55,6.705983143078083
56,0.56,6.719408534755917
57,0.5700000000000001,6.732860804094767
58,0.58,6.746340004903766
59,0.59,6.773379416707578
60,0.6,6.786939735860144
61,0.61,6.814141871873477
62,0.62,6.827783797542891
63,0.63,6.84145303437481
64,0.64,6.868873660343622
65,0.65,6.9240450593656835
66,0.66,6.979659599930388
67,0.67,7.007634159474639
68,0.68,7.0357208413896855
69,0.6900000000000001,7.120658124250674
70,0.7000000000000001,7.163510515898116
71,0.71,7.206620794869713
72,0.72,7.264505008663007
73,0.73,7.2790485622339025
74,0.74,7.308223076336531
75,0.75,7.322854153566432
76,0.76,7.35220424100549
77,0.77,7.366923368615111
78,0.78,7.396450085997618
79,0.79,7.426095146818188
80,0.8,7.500728668829085
81,0.81,7.560975183004087
82,0.8200000000000001,7.60647741947226
83,0.8300000000000001,7.6522534901315895
84,0.84,7.68292381406967
85,0.85,7.698305042926664
86,0.86,7.7446337357194635
87,0.87,7.775674320791902
88,0.88,7.806839316902294
89,0.89,7.838129222691577
90,0.9,7.901085767871355
91,0.91,7.996469989602652
92,0.92,8.17434180452091
93,0.93,8.27302485316726
94,0.9400000000000001,8.339474518405492
95,0.9500000000000001,8.406457913215268
96,0.96,8.4401510975436
97,0.97,8.490944248132271
98,0.98,8.524976054706144
99,0.99,8.62789206272654
100,1.0,8.749532085529808
