,cdf,End to End Latency
0,0.0,1.687080759920909
1,0.01,2.8207416467285205
2,0.02,2.9299924854513
3,0.03,3.098753323822401
4,0.04,3.363559890509009
5,0.05,3.5430924585667385
6,0.06,3.739679601343251
7,0.07,3.769717037712412
8,0.08,3.7848261088965587
9,0.09,3.822864256418379
10,0.1,3.923562160821885
11,0.11,3.962994629313254
12,0.12,3.98684408184822
13,0.13,4.018866765122815
14,0.14,4.051146657413629
15,0.15,4.132985276091548
16,0.16,4.1495503307401576
17,0.17,4.182879884955302
18,0.18,4.241852065053311
19,0.19,4.2759229949387665
20,0.2,4.318896749873268
21,0.21,4.34488803491757
22,0.22,4.3710357365046555
23,0.23,4.37978655879996
24,0.24,4.406144281032221
25,0.25,4.414965390703957
26,0.26,4.4238041602549165
27,0.27,4.432660625040211
28,0.28,4.486173002495688
29,0.29,4.5041536377956355
30,0.3,4.540331397046352
31,0.31,4.549421149592992
32,0.32,4.558529099842427
33,0.33,4.576799739249973
34,0.34,4.604343094301705
35,0.35000000000000003,4.622797356749544
36,0.36,4.669257258145329
37,0.37,4.678605120523999
38,0.38,4.725625899458204
39,0.39,4.735086611969632
40,0.4,4.754064896007301
41,0.41000000000000003,4.782675039520193
42,0.42,4.801844058547309
43,0.43,4.811457359965823
44,0.44,4.821089907233021
45,0.45,4.908655278843117
46,0.46,4.918482416538498
47,0.47000000000000003,4.92832922818322
48,0.48,4.948082030948682
49,0.49,4.967914003184976
50,0.5,4.9778597769651265
51,0.51,5.017842385702915
52,0.52,5.027888116204822
53,0.53,5.0379539582793065
54,0.54,5.068272556975502
55,0.55,5.098773614152761
56,0.56,5.129458227853169
57,0.5700000000000001,5.160327502726871
58,0.58,5.2226244878738655
59,0.59,5.243556829576424
60,0.6,5.285673540473237
61,0.61,5.317482925044794
62,0.62,5.338795460503356
63,0.63,5.360193416860125
64,0.64,5.370924534811798
65,0.65,5.414064274349919
66,0.66,5.424903241866135
67,0.67,5.446646319245281
68,0.68,5.468476543139826
69,0.6900000000000001,5.512399829012181
70,0.7000000000000001,5.534493593763969
71,0.71,5.556675910590361
72,0.72,5.578947134409136
73,0.73,5.635016504047088
74,0.74,5.7488514268274225
75,0.75,5.795026708492479
76,0.76,5.818253245173273
77,0.77,5.829901399818265
78,0.78,5.841572874092177
79,0.79,5.841572874092177
80,0.8,5.864985968363993
81,0.81,5.876727682014373
82,0.8200000000000001,5.971511605862952
83,0.8300000000000001,5.995445496133053
84,0.84,6.043601443110486
85,0.85,6.092144182901027
86,0.86,6.10434066775168
87,0.87,6.11656156998942
88,0.88,6.153371270351273
89,0.89,6.165690331953579
90,0.9,6.190402492891106
91,0.91,6.252617093104983
92,0.92,6.328100518134338
93,0.93,6.340769388040514
94,0.9400000000000001,6.353463621049604
95,0.9500000000000001,6.40449520118083
96,0.96,6.5338746299988
97,0.97,6.5863552872647775
98,0.98,6.719408534755917
99,0.99,6.746340004903766
100,1.0,6.814141871873477
