,cdf,Session Duration
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,9.825688795074296
5,0.05,18.15598877486481
6,0.06,18.821512138145472
7,0.07,18.821512138145472
8,0.08,21.823787129872706
9,0.09,22.759907421815107
10,0.1,24.953162616324942
11,0.11,24.953162616324942
12,0.12,25.053175191928883
13,0.13,25.10333169881963
14,0.14,25.20394615391064
15,0.15,25.406386472214354
16,0.16,25.406386472214354
17,0.17,25.7645774889031
18,0.18,25.816158224616622
19,0.19,25.816158224616622
20,0.2,26.023515884264672
21,0.21,26.127818448627895
22,0.22,26.180126393469997
23,0.23,26.285056654635955
24,0.24,26.549225954329337
25,0.25,26.549225954329337
26,0.26,26.81605020051256
27,0.27,26.869735986699773
28,0.28,26.977430211401757
29,0.29,27.194115310062983
30,0.3,27.303109650990756
31,0.31,27.632720788170655
32,0.32,27.68804155050934
33,0.33,27.743473065124977
34,0.34,28.531268237328565
35,0.35000000000000003,28.645621903256057
36,0.36,28.70297049565497
37,0.37,28.76043390005068
38,0.38,28.76043390005068
39,0.39,28.81801234629703
40,0.4,28.875706064708037
41,0.41000000000000003,30.0541463852828
42,0.42,30.0541463852828
43,0.43,30.295543939595497
44,0.44,30.416968843737266
45,0.45,30.845801373961255
46,0.46,30.907554730065282
47,0.47000000000000003,31.031432580809184
48,0.48,31.155806935467375
49,0.49,31.28067978403353
50,0.5,31.34330376758515
51,0.51,31.406053124477214
52,0.52,31.53192896277589
53,0.53,31.721689311571495
54,0.54,31.721689311571495
55,0.55,31.78519619708015
56,0.56,31.78519619708015
57,0.5700000000000001,31.848830223500734
58,0.58,31.912591645369606
59,0.59,31.976480717732706
60,0.6,32.104642836679396
61,0.61,32.16891639591199
62,0.62,32.23331863093885
63,0.63,32.29784979936916
64,0.64,32.36251015932786
65,0.65,32.492219488915005
66,0.66,32.557268977381305
67,0.67,32.622448695053734
68,0.68,32.622448695053734
69,0.6900000000000001,32.81877183311004
70,0.7000000000000001,32.88447508002318
71,0.71,32.88447508002318
72,0.72,33.08237510283853
73,0.73,33.2149696597692
74,0.74,33.48175522538304
75,0.75,33.548785766374806
76,0.76,33.548785766374806
77,0.77,33.61595050264383
78,0.78,33.68324970284932
79,0.79,33.81825257239694
80,0.8,33.81825257239694
81,0.81,33.81825257239694
82,0.8200000000000001,33.88595678175108
83,0.8300000000000001,33.88595678175108
84,0.84,34.08988375956996
85,0.85,34.36369671239413
86,0.86,35.05788966797693
87,0.87,35.12807563327819
88,0.88,35.12807563327819
89,0.89,35.766106256221086
90,0.9,35.83771007254983
91,0.91,35.83771007254983
92,0.92,35.90945723986225
93,0.93,36.270353405925924
94,0.9400000000000001,36.270353405925924
95,0.9500000000000001,36.34296672605789
96,0.96,36.48862977339375
97,0.97,36.634876639973626
98,0.98,36.708219736349946
99,0.99,36.708219736349946
100,1.0,36.78170966575206
