,cdf,Time to First Chunk
0,0.0,0.046747171815577804
1,0.01,0.10487341246957661
2,0.02,0.11202858358500128
3,0.03,0.11730226496624101
4,0.04,0.1258076417914567
5,0.05,0.13519985782005342
6,0.06,0.14529325321002828
7,0.07,0.1521328498536126
8,0.08,0.1580251446914154
9,0.09,0.16283772845430777
10,0.1,0.1661272698835136
11,0.11,0.17050322121724426
12,0.12,0.1742958593996865
13,0.13,0.1767531632414308
14,0.14,0.17960396036377235
15,0.15,0.18250073711150622
16,0.16,0.18470393946700464
17,0.17,0.1873079812474624
18,0.18,0.19071005283274098
19,0.19,0.19339877158428923
20,0.2,0.1969114700878593
21,0.21,0.2000873943088915
22,0.22,0.20290831916857138
23,0.23,0.2053578878323367
24,0.24,0.2107672112009934
25,0.25,0.21373870507113907
26,0.26,0.21718603056266375
27,0.27,0.21936878718939543
28,0.28,0.22201707144461583
29,0.29,0.22380033214266856
30,0.3,0.227865213658596
31,0.31,0.23433560454339966
32,0.32,0.23811513105847537
33,0.33,0.24147218858320788
34,0.34,0.24487657546149416
35,0.35000000000000003,0.2503235590636258
36,0.36,0.2579470489719662
37,0.37,0.26527163444788204
38,0.38,0.2706304787390213
39,0.39,0.28223903600995
40,0.4,0.29083449722346955
41,0.41000000000000003,0.2978989619977798
42,0.42,0.30330969563094884
43,0.43,0.3075858963558501
44,0.44,0.3100564534021066
45,0.45,0.3119223849413211
46,0.46,0.31317257360823153
47,0.47000000000000003,0.3144277730463412
48,0.48,0.31695328464957695
49,0.49,0.3188607215817742
50,0.5,0.3201387191853108
51,0.51,0.3214218390185988
52,0.52,0.3227101016115966
53,0.53,0.3240035275765469
54,0.54,0.3253021376083066
55,0.55,0.3266059524846777
56,0.56,0.3279149930667399
57,0.5700000000000001,0.3292292802991845
58,0.58,0.33054883521064926
59,0.59,0.3332038326069433
60,0.6,0.3345393175718159
61,0.61,0.3372263668743648
62,0.62,0.33993499879388905
63,0.63,0.341980740556631
64,0.64,0.34472756002487076
65,0.65,0.34888921210514684
66,0.66,0.3531011048683437
67,0.67,0.35522608075862405
68,0.68,0.3573638448347018
69,0.6900000000000001,0.35951447405636566
70,0.7000000000000001,0.36095541238831663
71,0.71,0.36312765580023515
72,0.72,0.3653129718556954
73,0.73,0.366777150636501
74,0.74,0.3697231370573561
75,0.75,0.37568628722597003
76,0.76,0.37870383261762963
77,0.77,0.3825098706858852
78,0.78,0.3855822237016827
79,0.79,0.38945739077276176
80,0.8,0.39653109854538615
81,0.81,0.4005163036748911
82,0.8200000000000001,0.40535145380983495
83,0.8300000000000001,0.41106628655534155
84,0.84,0.4168616896626963
85,0.85,0.426987396036926
86,0.86,0.43387414373397
87,0.87,0.44441308816509617
88,0.88,0.4488795154518124
89,0.89,0.45611935437441303
90,0.9,0.4634759624206222
91,0.91,0.4766366840350462
92,0.92,0.4814269639527997
93,0.93,0.490171113473513
94,0.9400000000000001,0.5020775296572072
95,0.9500000000000001,0.5184038439210604
96,0.96,0.5417228775491246
97,0.97,0.5683597555362344
98,0.98,0.602299367544442
99,0.99,0.6577037745562817
100,1.0,0.8033212578501778
