,cdf,Output Throughput
0,0.0,32.492219488915005
1,0.01,32.88447508002318
2,0.02,33.2149696597692
3,0.03,33.68324970284932
4,0.04,33.81825257239694
5,0.05,33.953796535067895
6,0.06,34.08988375956996
7,0.07,34.50142682173228
8,0.08,34.70905772168032
9,0.09,34.91793815228792
10,0.1,35.90945723986225
11,0.11,36.12556172046482
12,0.12,36.34296672605789
13,0.13,36.561680083250394
14,0.14,37.003063394656856
15,0.15,37.30027526323027
16,0.16,37.524749739640455
17,0.17,37.59987436374385
18,0.18,37.750575111994586
19,0.19,37.9777595100358
20,0.2,38.12997482649355
21,0.21,38.20631111243247
22,0.22,38.28280022376868
23,0.23,38.43623814707242
24,0.24,38.5902910514165
25,0.25,38.744961401652304
26,0.26,38.900251672510336
27,0.27,39.13435486785647
28,0.28,39.212701924648975
29,0.29,39.291205832406035
30,0.3,39.765540778173616
31,0.31,39.92492154343608
32,0.32,40.004851316295785
33,0.33,40.084941108720805
34,0.34,40.32617381019056
35,0.35000000000000003,40.81300319254295
36,0.36,41.05861739934763
37,0.37,41.305709721798415
38,0.38,41.471263502693624
39,0.39,41.63748082513196
40,0.4,41.720839145102175
41,0.41000000000000003,41.804364348595875
42,0.42,42.05594460457494
43,0.43,42.309038880111146
44,0.44,42.4786140163289
45,0.45,42.563656286631854
46,0.46,42.648868811730225
47,0.47000000000000003,42.99142828733044
48,0.48,43.07749721283061
49,0.49,43.163738448491934
50,0.5,43.59754137720183
51,0.51,43.94772067451362
52,0.52,44.30071264282453
53,0.53,44.56731601786451
54,0.54,44.745942355985854
55,0.55,45.0152251403878
56,0.56,45.19564670365433
57,0.5700000000000001,45.46763582593901
58,0.58,45.64987065666941
59,0.59,45.74126178911519
60,0.6,45.924593315993896
61,0.61,46.20096926673978
62,0.62,46.29346369970624
63,0.63,46.66529688287211
64,0.64,46.85233195350981
65,0.65,47.1342910706917
66,0.66,47.3232058756696
67,0.67,47.703310038808226
68,0.68,47.89450547864771
69,0.6900000000000001,47.89450547864771
70,0.7000000000000001,48.08646723210745
71,0.71,48.279198370581696
72,0.72,48.47270197777481
73,0.73,48.76441254344387
74,0.74,48.76441254344387
75,0.75,48.8620389949823
76,0.76,49.05787863440143
77,0.77,49.15609260564148
78,0.78,49.35311081546546
79,0.79,49.55091867664183
80,0.8,49.749519354102645
81,0.81,49.94891602546512
82,0.8200000000000001,50.149111881082334
83,0.8300000000000001,50.24951050346689
84,0.84,50.55191397047976
85,0.85,50.856137313068416
86,0.86,51.2646182930898
87,0.87,51.36725016154444
88,0.88,51.779836445041
89,0.89,52.091449471823815
90,0.9,52.30023262723876
91,0.91,53.03758555691637
92,0.92,53.35676776573205
93,0.93,54.76223611076494
94,0.9400000000000001,55.98035589845489
95,0.9500000000000001,56.76959291237637
96,0.96,57.91641514808947
97,0.97,59.560991951357785
98,0.98,60.40071043259002
99,0.99,63.62464430309206
100,1.0,157.11863951343716
