,cdf,Time to First Chunk
0,0.0,0.046467528460465056
1,0.01,0.07942029456495353
2,0.02,0.09338717177584131
3,0.03,0.09896378825113258
4,0.04,0.1023864131085028
5,0.05,0.10550454465794055
6,0.06,0.1098102682703843
7,0.07,0.11544036304195938
8,0.08,0.11943282395188956
9,0.09,0.12331648275372699
10,0.1,0.12605950894219034
11,0.11,0.1273264284940292
12,0.12,0.12886355043454967
13,0.13,0.13041922896138114
14,0.14,0.13146676771037863
15,0.15,0.13278803113451046
16,0.16,0.13519985782005342
17,0.17,0.1360134957109461
18,0.18,0.13765549047147596
19,0.19,0.13820721533135677
20,0.2,0.13987569331771624
21,0.21,0.1421317051292333
22,0.22,0.1447132408020166
23,0.23,0.14704727592126143
24,0.24,0.1485251261086259
25,0.25,0.1494189559713202
26,0.26,0.15152553369383384
27,0.27,0.15274260014385724
28,0.28,0.15489603614299255
29,0.29,0.1580251446914154
30,0.3,0.16186362698559115
31,0.31,0.1644742753811279
32,0.32,0.16679310997739533
33,0.33,0.16846940916272116
34,0.34,0.17221680765292285
35,0.35000000000000003,0.1739476159243625
36,0.36,0.1764000100681213
37,0.37,0.18104655521311142
38,0.38,0.18881245547197503
39,0.39,0.19185775319027681
40,0.4,0.195733538204134
41,0.41000000000000003,0.20048796967287322
42,0.42,0.20412942915725663
43,0.43,0.20908779955502088
44,0.44,0.21502499273445652
45,0.45,0.22290691853472738
46,0.46,0.22877850017297258
47,0.47000000000000003,0.23480474489283593
48,0.48,0.2488261140375078
49,0.49,0.2569173212612275
50,0.5,0.26210739717417253
51,0.51,0.26686804924184654
52,0.52,0.26955011862465406
53,0.53,0.2706304787390213
54,0.54,0.2733503611795853
55,0.55,0.27389760914991473
56,0.56,0.27554593538799327
57,0.5700000000000001,0.27720418131611796
58,0.58,0.27887240663136104
59,0.59,0.279990130588076
60,0.6,0.28223903600995
61,0.61,0.28450600483850874
62,0.62,0.2867911821606278
63,0.63,0.2885171024118929
64,0.64,0.29025340931692917
65,0.65,0.29141674846916216
66,0.66,0.292584750298696
67,0.67,0.29493481681683503
68,0.68,0.29730375927650554
69,0.6900000000000001,0.2984953563160937
70,0.7000000000000001,0.2996917292909348
71,0.71,0.3008928973430347
72,0.72,0.3020988796911206
73,0.73,0.30330969563094884
74,0.74,0.3051350249250737
75,0.75,0.30635800977148203
76,0.76,0.30697133912037383
77,0.77,0.30820168393614206
78,0.78,0.3100564534021066
79,0.79,0.3106771870425512
80,0.8,0.3125468541804428
81,0.81,0.31317257360823153
82,0.8200000000000001,0.3144277730463412
83,0.8300000000000001,0.31695328464957695
84,0.84,0.3182236372229695
85,0.85,0.3201387191853108
86,0.86,0.3220653261838012
87,0.87,0.32335616788108923
88,0.88,0.3259533931390539
89,0.89,0.3272598182554177
90,0.9,0.331873678914055
91,0.91,0.3338709073468971
92,0.92,0.33790149473597514
93,0.93,0.341980740556631
94,0.9400000000000001,0.34403879367117474
95,0.9500000000000001,0.3474964421893278
96,0.96,0.350287564259524
97,0.97,0.35664983115870835
98,0.98,0.3653129718556954
99,0.99,0.4435251499270041
100,1.0,0.49213572518622073
