,cdf,Output Throughput
0,0.0,47.990390374500834
1,0.01,48.18273643577533
2,0.02,49.35311081546546
3,0.03,52.40493779766367
4,0.04,54.10901621767679
5,0.05,55.42334186573994
6,0.06,55.64547928590583
7,0.07,56.09242868303638
8,0.08,56.54296801714225
9,0.09,57.111234483520185
10,0.1,57.340136997579876
11,0.11,58.61559907630741
12,0.12,58.73294762300674
13,0.13,59.08640473753639
14,0.14,59.32322375770783
15,0.15,59.7997131227849
16,0.16,59.91943226817587
17,0.17,60.280029692464964
18,0.18,61.252267654323745
19,0.19,61.62088613270255
20,0.2,62.489645957216496
21,0.21,62.86571102532425
22,0.22,63.87965264197386
23,0.23,64.0075398344503
24,0.24,64.65082651993593
25,0.25,64.78025760405994
26,0.26,65.03989765493789
27,0.27,65.56230384892444
28,0.28,66.08890605553337
29,0.29,66.61973797750802
30,0.3,66.75311082631185
31,0.31,67.0206580966104
32,0.32,67.1548335882953
33,0.33,67.42399096825105
34,0.34,67.55897393315244
35,0.35000000000000003,67.69422713421983
36,0.36,67.82975111246652
37,0.37,67.96554640998895
38,0.38,67.96554640998895
39,0.39,68.1016135699689
40,0.4,68.78604639433553
41,0.41000000000000003,69.0617416948185
42,0.42,69.47735788524926
43,0.43,69.89547526973487
44,0.44,70.1756171744814
45,0.45,70.31610890055644
46,0.46,70.45688189134836
47,0.47000000000000003,70.7392739205802
48,0.48,70.7392739205802
49,0.49,70.88089408858933
50,0.5,71.02279778045839
51,0.51,71.73658900405921
52,0.52,72.16830252741794
53,0.53,72.45755395112361
54,0.54,73.1857647187952
55,0.55,73.62619943676972
56,0.56,73.77359923544194
57,0.5700000000000001,74.21757156391418
58,0.58,74.36615529076886
59,0.59,74.51503648254217
60,0.6,74.6642157347595
61,0.61,74.81369364413838
62,0.62,75.26392530035449
63,0.63,75.41460382948434
64,0.64,75.41460382948434
65,0.65,75.71686646781632
66,0.66,75.71686646781632
67,0.67,75.86845178607021
68,0.68,76.02034057843467
69,0.6900000000000001,76.325031016935
70,0.7000000000000001,76.93808039734769
71,0.71,77.24644914806974
72,0.72,77.71132121951409
73,0.73,78.80693145854929
74,0.74,79.12279058678082
75,0.75,79.28119457193951
76,0.76,79.59895455242828
77,0.77,80.55989644746275
78,0.78,80.88278148043352
79,0.79,81.36953713827504
80,0.8,82.35185402491493
81,0.81,83.01331137924744
82,0.8200000000000001,83.51288864712096
83,0.8300000000000001,84.85984220805071
84,0.84,86.22852036652087
85,0.85,88.14656963516714
86,0.86,89.03245768467185
87,0.87,90.287678554875
88,0.88,92.48079570842596
89,0.89,97.2223891184982
90,0.9,99.18641232053767
91,0.91,101.39269424213863
92,0.92,102.41170810175863
93,0.93,107.23268057997814
94,0.9400000000000001,110.05729204763485
95,0.9500000000000001,112.50538355638245
96,0.96,115.23817600927929
97,0.97,122.60908248293711
98,0.98,125.58729707742405
99,0.99,137.41439494459823
100,1.0,177.50543467500754
