,cdf,Normalized End to End Latency
0,0.0,0.00842120716419861
1,0.01,0.015010551382498934
2,0.02,0.017509672292034872
3,0.03,0.01923542174694104
4,0.04,0.020262127016452143
5,0.05,0.020588928598566522
6,0.06,0.0210048526860052
7,0.07,0.02190584519988998
8,0.08,0.022891222038540864
9,0.09,0.023968813199611645
10,0.1,0.024355398777161173
11,0.11,0.024501970494117235
12,0.12,0.024649424285245334
13,0.13,0.02479776545890145
14,0.14,0.02489715520083118
15,0.15,0.025046987228567425
16,0.16,0.02514737585434463
17,0.17,0.025197720951150127
18,0.18,0.02529871371949866
19,0.19,0.025349361795013157
20,0.2,0.025400111268076248
21,0.21,0.025450962341686013
22,0.22,0.02550191521924695
23,0.23,0.02555297010457077
24,0.24,0.025655386715794894
25,0.25,0.025655386715794894
26,0.26,0.025758213814027427
27,0.27,0.02580978180965111
28,0.28,0.02580978180965111
29,0.29,0.025861453044505267
30,0.3,0.025913227725275052
31,0.31,0.025965106059059384
32,0.32,0.02601708825337182
33,0.33,0.02606917451614132
34,0.34,0.026121365055713178
35,0.35000000000000003,0.026226059800731324
36,0.36,0.026226059800731324
37,0.37,0.026278564424957015
38,0.38,0.02633117416354552
39,0.39,0.02638388922693599
40,0.4,0.026436709825988915
41,0.41000000000000003,0.026489636171986894
42,0.42,0.026542668476635518
43,0.43,0.026542668476635518
44,0.44,0.026595806952064222
45,0.45,0.026595806952064222
46,0.46,0.026649051810827114
47,0.47000000000000003,0.026755861530700437
48,0.48,0.026755861530700437
49,0.49,0.026809426819050193
50,0.5,0.02686309934521446
51,0.51,0.02686309934521446
52,0.52,0.026970766970177622
53,0.53,0.02702476249964745
54,0.54,0.027078866128275373
55,0.55,0.027133078072476113
56,0.56,0.027296365969166802
57,0.5700000000000001,0.027405770131964907
58,0.58,0.027570699099849907
59,0.59,0.02773662061654186
60,0.6,0.027903540655237234
61,0.61,0.028353588235400958
62,0.62,0.028524221208712196
63,0.63,0.028753330269078968
64,0.64,0.028984279553624294
65,0.65,0.02910044889435089
66,0.66,0.02933418626630761
67,0.67,0.029628999838325495
68,0.68,0.029926776336993432
69,0.6900000000000001,0.03028806114691645
70,0.7000000000000001,0.030838182671449714
71,0.71,0.03196858274513668
72,0.72,0.033339858905148255
73,0.73,0.03394541017895408
74,0.74,0.03428656733728183
75,0.75,0.03449290520467356
76,0.76,0.034631153183201334
77,0.77,0.03483956478133087
78,0.78,0.03504923060839133
79,0.79,0.03540148135018221
80,0.8,0.03618894453665566
81,0.81,0.03677262483438678
82,0.8200000000000001,0.03714219598190319
83,0.8300000000000001,0.03736571913118091
84,0.84,0.0375154813824459
85,0.85,0.03774125097747362
86,0.86,0.03781680903748858
87,0.87,0.03796837926251835
88,0.88,0.038120556982831344
89,0.89,0.038349967945855046
90,0.9,0.038503675078196
91,0.91,0.03896850272201971
92,0.92,0.039281501172607196
93,0.93,0.03959701365435389
94,0.9400000000000001,0.03975571896087905
95,0.9500000000000001,0.03991506036017978
96,0.96,0.039994970390930897
97,0.97,0.040075040401723556
98,0.98,0.040155270712838094
99,0.99,0.0403969266605426
100,1.0,0.04080292265917775
