,cdf,Intra-session Think Time
0,0.0,0.0019440097043602314
1,0.01,0.002814410487354534
2,0.02,0.0032698786407961205
3,0.03,0.003451306618399643
4,0.04,0.003650093953619426
5,0.05,0.003731285884183365
6,0.06,0.0038835626016308854
7,0.07,0.003993839056973498
8,0.08,0.004090850709998189
9,0.09,0.004274866871129055
10,0.1,0.004476103779640413
11,0.11,0.00460320585296791
12,0.12,0.005138457935886235
13,0.13,0.005380347898943793
14,0.14,0.005793595376428735
15,0.15,0.006288691933037197
16,0.16,0.006351894358878077
17,0.17,0.0067311978334072455
18,0.18,0.006922334867471355
19,0.19,0.007350388296714168
20,0.2,0.007867600814983621
21,0.21,0.008010499910893521
22,0.22,0.008221504147545959
23,0.23,0.008782430578913203
24,0.24,0.009122585058457146
25,0.25,0.009628748234369088
26,0.26,0.00976449879154811
27,0.27,0.010265135521238833
28,0.28,0.010684063791504642
29,0.29,0.01134472962633634
30,0.3,0.011737082771920364
31,0.31,0.012022180339736344
32,0.32,0.012388310362971326
33,0.33,0.012997451909840904
34,0.34,0.013446963825009393
35,0.35000000000000003,0.014249949487635409
36,0.36,0.014890945991031294
37,0.37,0.015252651924866805
38,0.38,0.015875124670076096
39,0.39,0.01629329065222864
40,0.4,0.017026201484365525
41,0.41000000000000003,0.017266244767447207
42,0.42,0.017756531770734444
43,0.43,0.018260740813748913
44,0.44,0.01896800205900161
45,0.45,0.019467637392601538
46,0.46,0.020020434467290085
47,0.47000000000000003,0.020671449271786557
48,0.48,0.021215955035797776
49,0.49,0.021774803602925667
50,0.5,0.022303720682876463
51,0.51,0.02284548533117115
52,0.52,0.024064880490925433
53,0.53,0.025046987228567425
54,0.54,0.025913227725275052
55,0.55,0.02638388922693599
56,0.56,0.026809426819050193
57,0.5700000000000001,0.02779214938654495
58,0.58,0.028467229757745738
59,0.59,0.02921708384319103
60,0.6,0.030167150843845223
61,0.61,0.030776567920857405
62,0.62,0.0319047094529386
63,0.63,0.03261439117277405
64,0.64,0.03340660536942283
65,0.65,0.034631153183201334
66,0.66,0.035828858402644215
67,0.67,0.0369939238904306
68,0.68,0.03781680903748858
69,0.6900000000000001,0.03881293999215408
70,0.7000000000000001,0.03991506036017978
71,0.71,0.040558838028008345
72,0.72,0.0412955074932817
73,0.73,0.04229858883613699
74,0.74,0.042894933954175915
75,0.75,0.04420127961873029
76,0.76,0.04509420499855417
77,0.77,0.04656055654547099
78,0.78,0.047978537075465344
79,0.79,0.05053942799259056
80,0.8,0.05156039250596276
81,0.81,0.053237008410671166
82,0.8200000000000001,0.055520582913985525
83,0.8300000000000001,0.05790211018864949
84,0.84,0.05871844098561578
85,0.85,0.06038579186916246
86,0.86,0.062349387841682265
87,0.87,0.06335500184133688
88,0.88,0.06700410445127065
89,0.89,0.0731676883341777
90,0.9,0.07645894437859121
91,0.91,0.08299280765764759
92,0.92,0.08586308224486518
93,0.93,0.08990503764303397
94,0.9400000000000001,0.0943257287701257
95,0.9500000000000001,0.09603896533096172
96,0.96,0.09603896533096172
97,0.97,0.0962312355318245
98,0.98,0.0962312355318245
99,0.99,0.0962312355318245
100,1.0,0.0962312355318245
