,cdf,Output Throughput
0,0.0,10.288227465101512
1,0.01,11.189773770435789
2,0.02,12.001124195202623
3,0.03,12.540963206745749
4,0.04,12.692361388005915
5,0.05,13.263293886862
6,0.06,13.859908282749332
7,0.07,14.139897096974835
8,0.08,14.4255420623445
9,0.09,14.62892004304429
10,0.1,14.80552465082481
11,0.11,14.984261281160485
12,0.12,15.317568071876252
13,0.13,15.502486240375733
14,0.14,15.689636795170529
15,0.15,16.00658858967672
16,0.16,16.232256897404195
17,0.17,16.494061950301724
18,0.18,16.626543710536804
19,0.19,16.82726421636398
20,0.2,17.167197616966856
21,0.21,17.479005126836842
22,0.22,17.72543224562198
23,0.23,17.832104571614245
24,0.24,18.228758196037194
25,0.25,18.375173189504977
26,0.26,18.63423490116471
27,0.27,18.93478071465443
28,0.28,19.240173938648805
29,0.29,19.786512030698223
30,0.3,20.145894102423608
31,0.31,20.26713286000765
32,0.32,20.38910123704993
33,0.33,20.594015179825057
34,0.34,21.052104169248214
35,0.35000000000000003,21.477385027032522
36,0.36,21.86747839539798
37,0.37,22.39864657627777
38,0.38,22.714433081311974
39,0.39,23.034671690915182
40,0.4,23.406190788883727
41,0.41000000000000003,23.783702003519156
42,0.42,24.21568496676515
43,0.43,24.557088921536373
44,0.44,25.55928307312625
45,0.45,25.86784222506631
46,0.46,26.390407477549488
47,0.47000000000000003,27.194115310062983
48,0.48,27.467420804193367
49,0.49,27.85466923853611
50,0.5,28.531268237328565
51,0.51,28.933515286058807
52,0.52,29.57710638095293
53,0.53,30.600019320094326
54,0.54,31.21818092332617
55,0.55,32.04049769614657
56,0.56,32.75319986141552
57,0.5700000000000001,33.41485861154611
58,0.58,34.98784393437458
59,0.59,35.766106256221086
60,0.6,36.561680083250394
61,0.61,37.1513721173722
62,0.62,38.66754889135929
63,0.63,39.448685457506215
64,0.64,39.68608914824719
65,0.65,41.05861739934763
66,0.66,41.804364348595875
67,0.67,42.4786140163289
68,0.68,43.42349946955025
69,0.6900000000000001,44.389402758225586
70,0.7000000000000001,46.20096926673978
71,0.71,47.228654015778176
72,0.72,48.47270197777481
73,0.73,49.650119715033505
74,0.74,50.95795140178327
75,0.75,51.98737065170029
76,0.76,53.25016083712919
77,0.77,56.317247811205746
78,0.78,58.03236392716473
79,0.79,59.560991951357785
80,0.8,62.74010520908983
81,0.81,65.17010766025308
82,0.8200000000000001,67.0206580966104
83,0.8300000000000001,68.64861173620498
84,0.84,73.1857647187952
85,0.85,75.56558401733116
86,0.86,78.4923332437429
87,0.87,81.85922211019425
88,0.88,84.18367153393339
89,0.89,88.14656963516714
90,0.9,92.48079570842596
91,0.91,98.19949070079294
92,0.92,102.20708930435251
93,0.93,108.52722490993263
94,0.9400000000000001,113.18244523726621
95,0.9500000000000001,117.33124498332656
96,0.96,125.33637340693976
97,0.97,133.88766565151673
98,0.98,142.73662568405362
99,0.99,150.65631328490716
100,1.0,161.90361607426667
