,cdf,Time to First Chunk
0,0.0,0.041627196651416044
1,0.01,0.057786421656804025
2,0.02,0.08812479803379679
3,0.03,0.1211166432814948
4,0.04,0.15304839113513624
5,0.05,0.19185775319027681
6,0.06,0.22740993850643093
7,0.07,0.26263213670805474
8,0.08,0.3144277730463412
9,0.09,0.3587961634188904
10,0.1,0.3997160712999163
11,0.11,0.4356131165154961
12,0.12,0.47473394468035474
13,0.13,0.5204816127566471
14,0.14,0.5672241716090891
15,0.15,0.612013667827931
16,0.16,0.6577037745562817
17,0.17,0.691424979692188
18,0.18,0.7702804674600792
19,0.19,0.8065409791043656
20,0.2,0.87022755302356
21,0.21,0.9240394380919555
22,0.22,0.967538065176706
23,0.23,1.0356192030718705
24,0.24,1.0887165531867162
25,0.25,1.1468276274780056
26,0.26,1.2080404245688643
27,0.27,1.295633268867385
28,0.28,1.3539139242302682
29,0.29,1.42333059924651
30,0.3,1.4784579668761635
31,0.31,1.5387950016325629
32,0.32,1.60159443832717
33,0.33,1.6437819691486164
34,0.34,1.7108660067246204
35,0.35000000000000003,1.7771299789653037
36,0.36,1.89079941838295
37,0.37,1.9328579672965904
38,0.38,2.0037085362790896
39,0.39,2.093840095460673
40,0.4,2.1532961381377436
41,0.41000000000000003,2.2456606850184615
42,0.42,2.323326002985665
43,0.43,2.4278347133817784
44,0.44,2.4719314327908513
45,0.45,2.5421236413942827
46,0.46,2.640583257602467
47,0.47000000000000003,2.7047238859840874
48,0.48,2.798265729602692
49,0.49,2.871974727891617
50,0.5,2.9417359305398376
51,0.51,3.013191655548461
52,0.52,3.129896322912432
53,0.53,3.231672777668404
54,0.54,3.3101711632378223
55,0.55,3.404165770742258
56,0.56,3.5008294203608994
57,0.5700000000000001,3.5715508896676345
58,0.58,3.680320844306961
59,0.59,3.7848261088965587
60,0.6,3.8535698392733546
61,0.61,3.947174307260429
62,0.62,4.0592570611321745
63,0.63,4.166181778326844
64,0.64,4.258853459100224
65,0.65,4.34488803491757
66,0.66,4.441534820485737
67,0.67,4.567655284226496
68,0.68,4.659928072814369
69,0.6900000000000001,4.763582543446756
70,0.7000000000000001,4.889059868144551
71,0.71,5.017842385702915
72,0.72,5.150017158066078
73,0.73,5.2330801925542945
74,0.74,5.370924534811798
75,0.75,5.457550516080607
76,0.76,5.578947134409136
77,0.77,5.6802774535730025
78,0.78,5.783448233550435
79,0.79,5.888492902598986
80,0.8,5.995445496133053
81,0.81,6.128806938497908
82,0.8200000000000001,6.22765657073782
83,0.8300000000000001,6.328100518134338
84,0.84,6.455936671464263
85,0.85,6.599541183735776
86,0.86,6.719408534755917
87,0.87,6.827783797542891
88,0.88,6.937907011436486
89,0.89,7.078062077235636
90,0.9,7.22104846412871
91,0.91,7.381671963947672
92,0.92,7.545868339481602
93,0.93,7.7137170650346265
94,0.9400000000000001,7.853821173087354
95,0.9500000000000001,8.044593050394523
96,0.96,8.490944248132271
97,0.97,8.784600315263162
98,0.98,9.143106777007915
99,0.99,9.459317636369587
100,1.0,10.185857857444494
