,cdf,Normalized End to End Latency
0,0.0,0.00651920933739388
1,0.01,0.016924350101212383
2,0.02,0.01877926722247083
3,0.03,0.01931251754843599
4,0.04,0.01990067146884956
5,0.05,0.020262127016452143
6,0.06,0.020588928598566522
7,0.07,0.02075430068885643
8,0.08,0.02092100106236009
9,0.09,0.021131260689042444
10,0.1,0.02142917900018838
11,0.11,0.02160130005580778
12,0.12,0.021644545901765355
13,0.13,0.021818396803331926
14,0.14,0.021993644090672216
15,0.15,0.022303720682876463
16,0.16,0.022437945322961717
17,0.17,0.022618168878651118
18,0.18,0.0229370503108903
19,0.19,0.023028982284148392
20,0.2,0.023213953100834992
21,0.21,0.02363558772473284
22,0.22,0.02377782759137498
23,0.23,0.024064880490925433
24,0.24,0.024161332821097153
25,0.25,0.024501970494117235
26,0.26,0.02460017468627383
27,0.27,0.02479776545890145
28,0.28,0.02489715520083118
29,0.29,0.02514737585434463
30,0.3,0.025197720951150127
31,0.31,0.02529871371949866
32,0.32,0.025450962341686013
33,0.33,0.02560412720187722
34,0.34,0.025706748851362038
35,0.35000000000000003,0.025913227725275052
36,0.36,0.02601708825337182
37,0.37,0.026121365055713178
38,0.38,0.026278564424957015
39,0.39,0.026436709825988915
40,0.4,0.026649051810827114
41,0.41000000000000003,0.026809426819050193
42,0.42,0.027078866128275373
43,0.43,0.02724182777542221
44,0.44,0.027296365969166802
45,0.45,0.027405770131964907
46,0.46,0.027570699099849907
47,0.47000000000000003,0.027681202793132183
48,0.48,0.02773662061654186
49,0.49,0.027847789325256753
50,0.5,0.027847789325256753
51,0.51,0.027959403599491964
52,0.52,0.02812766435465923
53,0.53,0.028410352175812174
54,0.54,0.028638546630064335
55,0.55,0.028753330269078968
56,0.56,0.028868573962298034
57,0.5700000000000001,0.02910044889435089
58,0.58,0.02933418626630761
59,0.59,0.029451758037343144
60,0.6,0.029510720515896368
61,0.61,0.029628999838325495
62,0.62,0.029866982578078374
63,0.63,0.030167150843845223
64,0.64,0.03028806114691645
65,0.65,0.03040945605993523
66,0.66,0.030531337525224085
67,0.67,0.030653707492890352
68,0.68,0.030776567920857405
69,0.6900000000000001,0.031085877674358935
70,0.7000000000000001,0.03139829604360529
71,0.71,0.03139829604360529
72,0.72,0.03146115549514405
73,0.73,0.031650489926517374
74,0.74,0.031777345470455784
75,0.75,0.03196858274513668
76,0.76,0.032096713208914295
77,0.77,0.03222535722113038
78,0.78,0.03228987245080231
79,0.79,0.032419290647580895
80,0.8,0.032549227554047225
81,0.81,0.03261439117277405
82,0.8200000000000001,0.03294217136321616
83,0.8300000000000001,0.03314041860446005
84,0.84,0.033206765788853364
85,0.85,0.033339858905148255
86,0.86,0.033607647592195256
87,0.87,0.03387758718159356
88,0.88,0.034081463790840066
89,0.89,0.03483956478133087
90,0.9,0.03518970834582203
91,0.91,0.03540148135018221
92,0.92,0.03568582917052709
93,0.93,0.03604447783637629
94,0.9400000000000001,0.036333990261205665
95,0.9500000000000001,0.036625828075364034
96,0.96,0.03677262483438678
97,0.97,0.0369939238904306
98,0.98,0.0381968744142284
99,0.99,0.03842674465845936
100,1.0,0.03912468894917585
