,cdf,End to End Latency
0,0.0,1.9483828529532232
1,0.01,5.078419248781258
2,0.02,5.635016504047088
3,0.03,5.783448233550435
4,0.04,5.971511605862952
5,0.05,6.079972066651474
6,0.06,6.165690331953579
7,0.07,6.22765657073782
8,0.08,6.277677657545719
9,0.09,6.340769388040514
10,0.1,6.430164494903704
11,0.11,6.481812143218157
12,0.12,6.494788744105482
13,0.13,6.546955460088887
14,0.14,6.5863552872647775
15,0.15,6.6925845753596445
16,0.16,6.719408534755917
17,0.17,6.786939735860144
18,0.18,6.882625159163127
19,0.19,6.9102108035028165
20,0.2,6.965714226104354
21,0.21,7.092232371684557
22,0.22,7.149197807574642
23,0.23,7.22104846412871
24,0.24,7.249990513141203
25,0.25,7.35220424100549
26,0.26,7.381671963947672
27,0.27,7.440962204169176
28,0.28,7.470785670094238
29,0.29,7.545868339481602
30,0.3,7.560975183004087
31,0.31,7.576112270457551
32,0.32,7.636964272369089
33,0.33,7.68292381406967
34,0.34,7.698305042926664
35,0.35000000000000003,7.775674320791902
36,0.36,7.791241236349044
37,0.37,7.838129222691577
38,0.38,7.885299382720762
39,0.39,7.9327534145685865
40,0.4,7.996469989602652
41,0.41000000000000003,8.044593050394523
42,0.42,8.109207931246944
43,0.43,8.158009453263125
44,0.44,8.190706853178607
45,0.45,8.223535304665846
46,0.46,8.25649533298111
47,0.47000000000000003,8.306183236187586
48,0.48,8.32281223165543
49,0.49,8.339474518405492
50,0.5,8.356170163086983
51,0.51,8.372899232482553
52,0.52,8.4401510975436
53,0.53,8.524976054706144
54,0.54,8.610653517146666
55,0.55,8.62789206272654
56,0.56,8.66247275778687
57,0.5700000000000001,8.732050502941336
58,0.58,8.784600315263162
59,0.59,8.837466374355909
60,0.6,8.855158999729996
61,0.61,8.872887045775503
62,0.62,8.944154857048025
63,0.63,9.015995097665968
64,0.64,9.088412365432308
65,0.65,9.088412365432308
66,0.66,9.16141129508
67,0.67,9.198130341634384
68,0.68,9.234996558568573
69,0.6900000000000001,9.327809848096624
70,0.7000000000000001,9.402731639438105
71,0.71,9.421555927004546
72,0.72,9.440417900832385
73,0.73,9.497230695119505
74,0.74,9.535295709864458
75,0.75,9.592679482417966
76,0.76,9.631127057049323
77,0.77,9.669728730021793
78,0.78,9.689087546298113
79,0.79,9.708485118963374
80,0.8,9.74739684397753
81,0.81,9.78646452765311
82,0.8200000000000001,9.884820164268726
83,0.8300000000000001,9.944307388293872
84,0.84,9.964215911593758
85,0.85,10.004152608697645
86,0.86,10.064357979915881
87,0.87,10.165506493093956
88,0.88,10.226682898130607
89,0.89,10.39162590476448
90,0.9,10.538131865064955
91,0.91,10.622775069587881
92,0.92,10.686703334324303
93,0.93,10.815716347265234
94,0.9400000000000001,10.902589134830023
95,0.9500000000000001,10.990159692286051
96,0.96,11.034208384390714
97,0.97,11.10061267047728
98,0.98,11.461577024136483
99,0.99,11.530553230965298
100,1.0,11.716525959073945
