,cdf,Intra-session Think Time
0,0.0,0.0011791012919563566
1,0.01,0.0012927252178145875
2,0.02,0.0013162049633214806
3,0.03,0.0013644515867810123
4,0.04,0.0014031961365440636
5,0.05,0.0014575436713449915
6,0.06,0.0014929478824050148
7,0.07,0.0015109711865472963
8,0.08,0.0015757835300626464
9,0.09,0.0016172911768498571
10,0.1,0.0016302814022150422
11,0.11,0.0016632152822485926
12,0.12,0.0016799308793319064
13,0.13,0.001700211496983096
14,0.14,0.0017241818670062506
15,0.15,0.0017415101886581947
16,0.16,0.0017766910399839519
17,0.17,0.001841817176109223
18,0.18,0.001882786174215654
19,0.19,0.0019131530503100113
20,0.2,0.0019872518518056492
21,0.21,0.0021017129947029454
22,0.22,0.002191864908780559
23,0.23,0.0022950456934493083
24,0.24,0.002383935672865621
25,0.25,0.0024369634420353115
26,0.26,0.002491170749870878
27,0.27,0.002551682099718528
28,0.28,0.002639931051551709
29,0.29,0.002661135210579521
30,0.3,0.0026986531286693764
31,0.31,0.0027148937259249147
32,0.32,0.002764204293154923
33,0.33,0.002791985017462528
34,0.34,0.002808787289577605
35,0.35000000000000003,0.0028313477168010713
36,0.36,0.0028426957924715416
37,0.37,0.0028540893513656572
38,0.38,0.002888544754019128
39,0.39,0.0029117458002309872
40,0.4,0.002929268797295591
41,0.41000000000000003,0.0029587084480052206
42,0.42,0.002970566987016726
43,0.43,0.002988443972222496
44,0.44,0.0030124474177653164
45,0.45,0.00303057644099756
46,0.46,0.0030427230277885464
47,0.47000000000000003,0.0030610342507943803
48,0.48,0.003091798166771227
49,0.49,0.0031104047258315613
50,0.5,0.0031228712653473805
51,0.51,0.003141664823497778
52,0.52,0.003173239090473852
53,0.53,0.003179591921485812
54,0.54,0.003198726826703985
55,0.55,0.0032115473622613805
56,0.56,0.0032373427939090043
57,0.5700000000000001,0.0032568252460757714
58,0.58,0.0032698786407961205
59,0.59,0.0033093535735422533
60,0.6,0.00332261750243027
61,0.61,0.003349305059239268
62,0.62,0.0033694613045807593
63,0.63,0.003410138428413293
64,0.64,0.0034306607712861585
65,0.65,0.003458216141159202
66,0.66,0.003549308865104197
67,0.67,0.0035778172269306427
68,0.68,0.0035993486671958685
69,0.6900000000000001,0.003650093953619426
70,0.7000000000000001,0.003708965190481205
71,0.71,0.0037537409046698913
72,0.72,0.0037838912826674725
73,0.73,0.003868059373184482
74,0.74,0.0038991279672031887
75,0.75,0.003954099681197205
76,0.76,0.004058254452330035
77,0.77,0.0041485254201163975
78,0.78,0.004257801551349417
79,0.79,0.004503041142574111
80,0.8,0.004715019224172645
81,0.81,0.004791066311475385
82,0.8200000000000001,0.004907442874475735
83,0.8300000000000001,0.005117945150226793
84,0.84,0.0051901003139972045
85,0.85,0.0053481624537136474
86,0.86,0.0054019123979731284
87,0.87,0.0054453010347610565
88,0.88,0.005555303449547687
89,0.89,0.005622368700018833
90,0.9,0.005678874463792414
91,0.91,0.00573594812012338
92,0.92,0.005805194165971136
93,0.93,0.005875276170367526
94,0.9400000000000001,0.005981988708625385
95,0.9500000000000001,0.006251072739337889
96,0.96,0.006545338406753101
97,0.97,0.006922334867471355
98,0.98,0.00716174117766964
99,0.99,0.007409427263761473
100,1.0,0.010082016040345662
