,cdf,Intra-session Think Time
0,0.0,9.225043155034055e-05
1,0.01,0.00014496714225863927
2,0.02,0.0008858146366137684
3,0.03,0.0011511397324849562
4,0.04,0.0013347614311803979
5,0.05,0.0014060053380186264
6,0.06,0.0014401576661562776
7,0.07,0.0014989316354569859
8,0.08,0.0015261567045186512
9,0.09,0.0015414948395340068
10,0.1,0.0016172911768498571
11,0.11,0.0017519906632660425
12,0.12,0.0018089610482489105
13,0.13,0.0018790243636777604
14,0.14,0.0019285196643355855
15,0.15,0.001983281318635208
16,0.16,0.0020152690498433674
17,0.17,0.0021185941388314304
18,0.18,0.0022006499296724448
19,0.19,0.0023181112938613145
20,0.2,0.002393490515687886
21,0.21,0.002446730820793588
22,0.22,0.0024762684719448246
23,0.23,0.0025364178406022428
24,0.24,0.002567038219727226
25,0.25,0.002624138883857912
26,0.26,0.0026664628085986994
27,0.27,0.002736699991764428
28,0.28,0.002791985017462528
29,0.29,0.002803175326961066
30,0.3,0.002808787289577605
31,0.31,0.0028256906784058645
32,0.32,0.0028483868751391526
33,0.33,0.0028712653697262336
34,0.34,0.002882773435829279
35,0.35000000000000003,0.0029410093418333052
36,0.36,0.002970566987016726
37,0.37,0.0029824730551950784
38,0.38,0.0030064285418057455
39,0.39,0.003024521343213349
40,0.4,0.003054918298245344
41,0.41000000000000003,0.0030733029128530136
42,0.42,0.0030794556714373042
43,0.43,0.003097987952890889
44,0.44,0.003116631762319713
45,0.45,0.0031542566538606616
46,0.46,0.003160571481996519
47,0.47000000000000003,0.003179591921485812
48,0.48,0.003198726826703985
49,0.49,0.0032308745765385607
50,0.5,0.0032373427939090043
51,0.51,0.0032568252460757714
52,0.52,0.0032829843536793593
53,0.53,0.0032961425944173124
54,0.54,0.0033292693893220184
55,0.55,0.0033560103746731805
56,0.56,0.003376206972858198
57,0.5700000000000001,0.0034033249650198593
58,0.58,0.003423806304210661
59,0.59,0.003465139496797159
60,0.6,0.003499964739376478
61,0.61,0.003528076764833299
62,0.62,0.0035422173389001925
63,0.63,0.0035849800241817553
64,0.64,0.0036065545704334983
65,0.65,0.0037015546706201034
66,0.66,0.0038142838311601636
67,0.67,0.0038449204952827336
68,0.68,0.00390693402919959
69,0.6900000000000001,0.003985859358557966
70,0.7000000000000001,0.004198607634150749
71,0.71,0.004352511203293967
72,0.72,0.004494044057374162
73,0.73,0.004724458702098917
74,0.74,0.004781493751412496
75,0.75,0.004887852303709934
76,0.76,0.004956763511842779
77,0.77,0.005006579830022119
78,0.78,0.005056896810690399
79,0.79,0.005138457935886235
80,0.8,0.0051901003139972045
81,0.81,0.0052843680151672245
82,0.8200000000000001,0.005326812525105936
83,0.8300000000000001,0.00536959795309176
84,0.84,0.005489038172906209
85,0.85,0.005533126611602224
86,0.86,0.00556642517817541
87,0.87,0.005622368700018833
88,0.88,0.0056336246934122645
89,0.89,0.005678874463792414
90,0.9,0.00571305014648813
91,0.91,0.00573594812012338
92,0.92,0.005782019761291014
93,0.93,0.00581681617631342
94,0.9400000000000001,0.0059224669067223954
95,0.9500000000000001,0.006054205028526359
96,0.96,0.006139560018177549
97,0.97,0.00621367858508234
98,0.98,0.006263587399476705
99,0.99,0.006532260807538813
100,1.0,0.009140848492007607
