,cdf,End to End Latency
0,0.0,2.036025731765052
1,0.01,5.338795460503356
2,0.02,5.995445496133053
3,0.03,6.215213700466616
4,0.04,6.391699006972676
5,0.05,6.455936671464263
6,0.06,6.5338746299988
7,0.07,6.705983143078083
8,0.08,6.84145303437481
9,0.09,6.951796715163086
10,0.1,7.0357208413896855
11,0.11,7.120658124250674
12,0.12,7.264505008663007
13,0.13,7.2790485622339025
14,0.14,7.500728668829085
15,0.15,7.7446337357194635
16,0.16,7.82246862484404
17,0.17,7.948634802785942
18,0.18,8.207104664696484
19,0.19,8.239998838809319
20,0.2,8.524976054706144
21,0.21,8.732050502941336
22,0.22,8.908449683671757
23,0.23,9.124838831399506
24,0.24,9.179752458833915
25,0.25,9.216545016993011
26,0.26,9.327809848096624
27,0.27,9.383944962835832
28,0.28,9.421555927004546
29,0.29,9.478255209215169
30,0.3,9.497230695119505
31,0.31,9.535295709864458
32,0.32,9.592679482417966
33,0.33,9.611884045946328
34,0.34,9.650408592699073
35,0.35000000000000003,9.727921525607947
36,0.36,9.78646452765311
37,0.37,9.806057049229992
38,0.38,9.825688795074296
39,0.39,9.865070273830627
40,0.4,9.884820164268726
41,0.41000000000000003,9.964215911593758
42,0.42,9.984164291797148
43,0.43,10.024180942248588
44,0.44,10.10469604763291
45,0.45,10.124925669349894
46,0.46,10.267671566070339
47,0.47000000000000003,10.308824517083695
48,0.48,10.308824517083695
49,0.49,10.35014240961921
50,0.5,10.39162590476448
51,0.51,10.412429960629876
52,0.52,10.454163105028046
53,0.53,10.496063516370434
54,0.54,10.559229226156177
55,0.55,10.751016321791406
56,0.56,10.815716347265234
57,0.5700000000000001,10.837369433045545
58,0.58,10.88080573995524
59,0.59,10.968201331262502
60,0.6,11.01216201399233
61,0.61,11.034208384390714
62,0.62,11.078433624182619
63,0.63,11.167416580085268
64,0.64,11.189773770435789
65,0.65,11.189773770435789
66,0.66,11.27965102021249
67,0.67,11.30223290413684
68,0.68,11.393013435593469
69,0.6900000000000001,11.415822271300364
70,0.7000000000000001,11.438676770342003
71,0.71,11.461577024136483
72,0.72,11.484523124284905
73,0.73,11.553637421617882
74,0.74,11.576767826866368
75,0.75,11.599944539232464
76,0.76,11.66975344703424
77,0.77,11.69311631679807
78,0.78,11.834279042056252
79,0.79,11.90549818381622
80,0.8,12.001124195202623
81,0.81,12.04922484518274
82,0.8200000000000001,12.121737538968073
83,0.8300000000000001,12.194686616904884
84,0.84,12.194686616904884
85,0.85,12.268074705169603
86,0.86,12.317245296001355
87,0.87,12.391370947062208
88,0.88,12.490899531333268
89,0.89,12.540963206745749
90,0.9,12.61643520070953
91,0.91,12.692361388005915
92,0.92,12.717771520914832
93,0.93,12.794307554043687
94,0.9400000000000001,12.819921783381114
95,0.9500000000000001,12.897072560677953
96,0.96,13.078901469636337
97,0.97,13.236793799175965
98,0.98,13.423412255673567
99,0.99,13.558319836877178
100,1.0,13.694583262267026
