,cdf,Time Between Chunks
0,0.0,0.0007919574595078753
1,0.01,0.008454959463702113
2,0.02,0.011974187651746066
3,0.03,0.013207083793213397
4,0.04,0.014221478060087686
5,0.05,0.014920757694717035
6,0.06,0.015529685574838067
7,0.07,0.015875124670076096
8,0.08,0.01622824764068582
9,0.09,0.01655608009968765
10,0.1,0.0169582326839976
11,0.11,0.017370153685716334
12,0.12,0.017615046166413306
13,0.13,0.017899153799907433
14,0.14,0.018115237627499264
15,0.15,0.018297298853416077
16,0.16,0.01844426437148869
17,0.17,0.018555262656577566
18,0.18,0.01870430016266761
19,0.19,0.01877926722247083
20,0.2,0.018892281567469155
21,0.21,0.01900597603709771
22,0.22,0.019158633712809566
23,0.23,0.01931251754843599
24,0.24,0.01942874101419474
25,0.25,0.019584794375487293
26,0.26,0.019781624897208798
27,0.27,0.019940512652971382
28,0.28,0.02006051541717455
29,0.29,0.020181240362580743
30,0.3,0.020302691835303904
31,0.31,0.020384065268137352
32,0.32,0.020506737348862922
33,0.33,0.020547791878089864
34,0.34,0.02063014767483993
35,0.35000000000000003,0.02071283355461296
36,0.36,0.020795850840385675
37,0.37,0.02083748417540145
38,0.38,0.02092100106236009
39,0.39,0.020962884948370824
40,0.4,0.02104690444313434
41,0.41000000000000003,0.021089040387965444
42,0.42,0.021173565515246733
43,0.43,0.02125842942025383
44,0.44,0.0213009888385126
45,0.45,0.021386363457730474
46,0.46,0.021472080259448016
47,0.47000000000000003,0.021558140615136834
48,0.48,0.021687878325993115
49,0.49,0.021774803602925667
50,0.5,0.02190584519988998
51,0.51,0.021993644090672216
52,0.52,0.022126002678022175
53,0.53,0.022259157804389196
54,0.54,0.022437945322961717
55,0.55,0.022618168878651118
56,0.56,0.02284548533117115
57,0.5700000000000001,0.023121282721859978
58,0.58,0.023353655554260517
59,0.59,0.023588363773234883
60,0.6,0.023825430849816174
61,0.61,0.023968813199611645
62,0.62,0.024113058429846207
63,0.63,0.02430673664174227
64,0.64,0.024501970494117235
65,0.65,0.024698772482012597
66,0.66,0.02484741063499535
67,0.67,0.025046987228567425
68,0.68,0.025197720951150127
69,0.6900000000000001,0.025450962341686013
70,0.7000000000000001,0.025706748851362038
71,0.71,0.02606917451614132
72,0.72,0.026436709825988915
73,0.73,0.027460636538635508
74,0.74,0.03047033585184701
75,0.75,0.03568582917052709
76,0.76,0.038503675078196
77,0.77,0.04113065533248235
78,0.78,0.04341277416141325
79,0.79,0.04600516867366751
80,0.8,0.04865496073740934
81,0.81,0.05043845011448348
82,0.8200000000000001,0.05187068491076683
83,0.8300000000000001,0.05431246768166574
84,0.84,0.05630333783518858
85,0.85,0.05825056729187244
86,0.86,0.062349387841682265
87,0.87,0.06607258254659137
88,0.88,0.06890673249933901
89,0.89,0.0711474082978508
90,0.9,0.07287560204550458
91,0.91,0.07464577418282689
92,0.92,0.07584971279604816
93,0.93,0.07738197915105305
94,0.9400000000000001,0.07910324779727586
95,0.9500000000000001,0.08332544382798268
96,0.96,0.08954613565533923
97,0.97,0.09876605840447698
98,0.98,0.11360801450078294
99,0.99,0.1412814678775116
100,1.0,0.5030826898767411
