,cdf,End to End Latency
0,0.0,2.526916561338285
1,0.01,4.441534820485737
2,0.02,5.181010157364399
3,0.03,5.760360638893143
4,0.04,6.079972066651474
5,0.05,6.153371270351273
6,0.06,6.252617093104983
7,0.07,6.6925845753596445
8,0.08,6.937907011436486
9,0.09,7.308223076336531
10,0.1,7.366923368615111
11,0.11,7.426095146818188
12,0.12,7.485742197962293
13,0.13,7.530791679462657
14,0.14,7.576112270457551
15,0.15,7.60647741947226
16,0.16,7.621705602494227
17,0.17,7.6522534901315895
18,0.18,7.68292381406967
19,0.19,7.760138507963147
20,0.2,8.125442581759952
21,0.21,8.207104664696484
22,0.22,8.25649533298111
23,0.23,8.306183236187586
24,0.24,8.339474518405492
25,0.25,8.406457913215268
26,0.26,8.62789206272654
27,0.27,8.784600315263162
28,0.28,8.944154857048025
29,0.29,9.216545016993011
30,0.3,9.327809848096624
31,0.31,9.365195822050945
32,0.32,9.402731639438105
33,0.33,9.478255209215169
34,0.34,9.497230695119505
35,0.35000000000000003,9.51624416998461
36,0.36,9.535295709864458
37,0.37,9.554385390965288
38,0.38,9.592679482417966
39,0.39,9.611884045946328
40,0.4,9.650408592699073
41,0.41000000000000003,9.669728730021793
42,0.42,9.689087546298113
43,0.43,9.708485118963374
44,0.44,9.74739684397753
45,0.45,9.766911151973481
46,0.46,9.806057049229992
47,0.47000000000000003,9.825688795074296
48,0.48,9.825688795074296
49,0.49,9.865070273830627
50,0.5,9.924438642263313
51,0.51,9.944307388293872
52,0.52,9.984164291797148
53,0.53,10.004152608697645
54,0.54,10.024180942248588
55,0.55,10.064357979915881
56,0.56,10.10469604763291
57,0.5700000000000001,10.145195790810053
58,0.58,10.165506493093956
59,0.59,10.247156737766502
60,0.6,10.370863415444274
61,0.61,10.454163105028046
62,0.62,10.538131865064955
63,0.63,10.644041886544015
64,0.64,10.815716347265234
65,0.65,11.10061267047728
66,0.66,11.30223290413684
67,0.67,11.415822271300364
68,0.68,11.576767826866368
69,0.6900000000000001,11.76348593590392
70,0.7000000000000001,11.90549818381622
71,0.71,12.02515046986769
72,0.72,12.09751828314596
73,0.73,12.170321608679302
74,0.74,12.219100403925715
75,0.75,12.268074705169603
76,0.76,12.292635415290063
77,0.77,12.317245296001355
78,0.78,12.341904445743102
79,0.79,12.366612963151994
80,0.8,12.416178496505779
81,0.81,12.540963206745749
82,0.8200000000000001,12.667002024593316
83,0.8300000000000001,12.768744501987658
84,0.84,12.819921783381114
85,0.85,12.845587292456953
86,0.86,12.897072560677953
87,0.87,12.974687634289394
88,0.88,13.000662984908592
89,0.89,13.052769798368335
90,0.9,13.105085456562536
91,0.91,13.157610796543407
92,0.92,13.21034665871807
93,0.93,13.263293886862
94,0.9400000000000001,13.31645332813255
95,0.9500000000000001,13.343112894355036
96,0.96,13.396592251166725
97,0.97,13.423412255673567
98,0.98,13.477213453290293
99,0.99,13.531230286753546
100,1.0,13.694583262267026
