,cdf,Session Duration
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,13.052769798368335
5,0.05,13.236793799175965
6,0.06,13.289847027776641
7,0.07,13.423412255673567
8,0.08,13.531230286753546
9,0.09,19.317288786985227
10,0.1,21.306251337243193
11,0.11,22.30923091071944
12,0.12,24.21568496676515
13,0.13,25.713099811602593
14,0.14,26.285056654635955
15,0.15,26.443241126153197
16,0.16,26.60237755784151
17,0.17,26.76247167863341
18,0.18,26.923529251938415
19,0.19,27.031439080693858
20,0.2,27.632720788170655
21,0.21,27.966311087546437
22,0.22,28.991440241586453
23,0.23,29.400175008601114
24,0.24,29.99409814075676
25,0.25,30.235013382273646
26,0.26,30.295543939595497
27,0.27,30.661280620034457
28,0.28,31.09355757096096
29,0.29,31.21818092332617
30,0.3,31.468928105707406
31,0.31,31.721689311571495
32,0.32,32.36251015932786
33,0.33,33.01627645128441
34,0.34,34.295037977704055
35,0.35000000000000003,35.12807563327819
36,0.36,35.339477729628165
37,0.37,36.34296672605789
38,0.38,36.48862977339375
39,0.39,37.003063394656856
40,0.4,37.225749238728305
41,0.41000000000000003,37.90187987065511
42,0.42,37.9777595100358
43,0.43,38.12997482649355
44,0.44,38.20631111243247
45,0.45,38.20631111243247
46,0.46,38.28280022376868
47,0.47000000000000003,38.35944246645889
48,0.48,38.43623814707242
49,0.49,38.51318757279229
50,0.5,38.5902910514165
51,0.51,38.66754889135929
52,0.52,38.66754889135929
53,0.53,38.66754889135929
54,0.54,38.744961401652304
55,0.55,38.8225288919459
56,0.56,38.900251672510336
57,0.5700000000000001,38.97813005423709
58,0.58,39.13435486785647
59,0.59,39.13435486785647
60,0.6,39.212701924648975
61,0.61,39.36986690514359
62,0.62,39.36986690514359
63,0.63,39.448685457506215
64,0.64,39.68608914824719
65,0.65,39.845151470422216
66,0.66,40.004851316295785
67,0.67,40.004851316295785
68,0.68,40.40690689089165
69,0.6900000000000001,41.22318083124537
70,0.7000000000000001,41.55428905525158
71,0.71,42.393741660651905
72,0.72,42.563656286631854
73,0.73,43.336739230849844
74,0.74,44.03570409928742
75,0.75,45.19564670365433
76,0.76,45.558662123888844
77,0.77,46.47900845847786
78,0.78,46.47900845847786
79,0.79,46.5720595264628
80,0.8,46.85233195350981
81,0.81,47.990390374500834
82,0.8200000000000001,48.08646723210745
83,0.8300000000000001,49.25450320144857
84,0.84,49.55091867664183
85,0.85,49.749519354102645
86,0.86,49.849117991448196
87,0.87,49.94891602546512
88,0.88,50.0489138553459
89,0.89,50.35011012409445
90,0.9,50.75452664910623
91,0.91,50.95795140178327
92,0.92,51.16219148331339
93,0.93,51.470087499205164
94,0.9400000000000001,51.88349978126731
95,0.9500000000000001,51.98737065170029
96,0.96,52.091449471823815
97,0.97,52.40493779766367
98,0.98,52.614977418055496
99,0.99,52.8258588797697
100,1.0,53.25016083712919
