,cdf,Session Duration
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,8.076835876004495
4,0.04,16.167457533342063
5,0.05,16.362635816365206
6,0.06,16.560170348791516
7,0.07,16.65983008433167
8,0.08,16.693183097513522
9,0.09,19.905588013294363
10,0.1,20.842632163358868
11,0.11,21.178796533510287
12,0.12,22.66904959863203
13,0.13,23.54705013603367
14,0.14,24.853549292121386
15,0.15,25.15358861913759
16,0.16,25.61045280900837
17,0.17,25.66172498680418
18,0.18,25.7645774889031
19,0.19,25.816158224616622
20,0.2,26.549225954329337
21,0.21,26.76247167863341
22,0.22,26.81605020051256
23,0.23,26.923529251938415
24,0.24,27.031439080693858
25,0.25,27.194115310062983
26,0.26,27.35777053117292
27,0.27,27.522410635633197
28,0.28,27.68804155050934
29,0.29,27.79901555374385
30,0.3,27.966311087546437
31,0.31,28.022299698332315
32,0.32,28.13461341223975
33,0.33,28.19093896461661
34,0.34,28.24737728086207
35,0.35000000000000003,28.24737728086207
36,0.36,28.30392858672967
37,0.37,28.360593108424823
38,0.38,28.417371072605857
39,0.39,28.417371072605857
40,0.4,28.417371072605857
41,0.41000000000000003,28.47426270638485
42,0.42,28.47426270638485
43,0.43,28.531268237328565
44,0.44,28.531268237328565
45,0.45,28.645621903256057
46,0.46,28.76043390005068
47,0.47000000000000003,28.76043390005068
48,0.48,28.81801234629703
49,0.49,28.81801234629703
50,0.5,28.81801234629703
51,0.51,28.81801234629703
52,0.52,28.875706064708037
53,0.53,28.875706064708037
54,0.54,28.933515286058807
55,0.55,28.991440241586453
56,0.56,29.049481162991018
57,0.5700000000000001,29.107638282436444
58,0.58,29.165911832551437
59,0.59,29.165911832551437
60,0.6,29.22430204643042
61,0.61,29.459034217827526
62,0.62,29.459034217827526
63,0.63,29.57710638095293
64,0.64,29.636319807141025
65,0.65,29.695651778726894
66,0.66,29.755102533038666
67,0.67,29.814672307879587
68,0.68,29.874361341528978
69,0.6900000000000001,29.934169872743254
70,0.7000000000000001,29.934169872743254
71,0.71,29.99409814075676
72,0.72,30.0541463852828
73,0.73,30.174603765126243
74,0.74,30.295543939595497
75,0.75,30.416968843737266
76,0.76,30.416968843737266
77,0.77,30.47786367625726
78,0.78,30.600019320094326
79,0.79,30.722664565219695
80,0.8,31.155806935467375
81,0.81,31.34330376758515
82,0.8200000000000001,31.721689311571495
83,0.8300000000000001,31.78519619708015
84,0.84,31.78519619708015
85,0.85,31.848830223500734
86,0.86,32.23331863093885
87,0.87,32.42729996945664
88,0.88,32.950309864968155
89,0.89,33.2149696597692
90,0.9,33.2814660955245
91,0.91,33.81825257239694
92,0.92,33.88595678175108
93,0.93,33.88595678175108
94,0.9400000000000001,33.953796535067895
95,0.9500000000000001,34.021772103706674
96,0.96,34.021772103706674
97,0.97,34.158131775104636
98,0.98,34.295037977704055
99,0.99,34.50142682173228
100,1.0,34.70905772168032
